fiona_farmer,district,crop,farmer_birth_year,fertilizer_use,profits_2005,profits_2016
0,KARUR,RICE,1980,0,20990.18,24450.701
0,PUDUKKOTTAI,WHEAT,1965,0,20006.494,21339.154
0,PUDUKKOTTAI,WHEAT,1971,0,19978.328,20835.453
0,KARUR,RICE,1971,0,19465.178,20742.055
0,DINDIGUL,LENTILS,1970,0,19708.813,22377.605
1,THANJAVUR,WHEAT,1963,1,19943.307,25238.156
1,THANJAVUR,LENTILS,1969,0,19502.309,24684.623
0,PUDUKKOTTAI,WHEAT,1974,1,21543.221,23335.916
0,PUDUKKOTTAI,WHEAT,1958,0,19967.625,20356.273
0,TENKASI,LENTILS,1978,0,20530.51,23494.932
0,MADURAI,WHEAT,1969,0,19977.861,20920.846
0,MADURAI,WHEAT,1969,0,19889.063,21395.041
1,THANJAVUR,RICE,1974,1,21031.523,23108.234
0,MADURAI,WHEAT,1969,1,20030.176,21365.055
0,KARUR,RICE,1966,1,20087.654,23323.605
0,DINDIGUL,LENTILS,1965,1,19938.947,21278.266
0,TENKASI,RICE,1981,1,21437.334,23226.145
0,TENKASI,RICE,1948,0,19361.566,20976.941
0,KARUR,RICE,1967,0,20258.635,22533.92
0,TENKASI,LENTILS,1944,0,20090.787,23184.609
0,TENKASI,LENTILS,1976,0,19902.168,22983.199
1,THANJAVUR,RICE,1967,0,20221.699,22167.211
0,MADURAI,WHEAT,1972,1,19731.816,22662.785
0,PUDUKKOTTAI,WHEAT,1968,0,20108.465,22871.359
1,THANJAVUR,WHEAT,1958,0,20265.426,25063.936
0,DINDIGUL,LENTILS,1967,0,19762.732,22726.891
0,TENKASI,RICE,1974,1,20574.973,23476.793
0,TENKASI,LENTILS,1950,0,19935.199,20119.941
1,THANJAVUR,LENTILS,1971,0,18978.125,23007.355
1,THANJAVUR,LENTILS,1966,0,19713.832,24965.494
0,PUDUKKOTTAI,WHEAT,1973,1,19811.582,18932.402
0,DINDIGUL,LENTILS,1965,0,20262.369,22668.527
1,THANJAVUR,LENTILS,1969,1,20986.959,25241.912
0,MADURAI,WHEAT,1983,0,21890.572,23474.242
0,KARUR,RICE,1954,0,19907.016,21888.9
0,MADURAI,RICE,1969,0,20346.859,21570.633
0,KARUR,RICE,1981,0,20492.402,22779.365
1,THANJAVUR,WHEAT,1968,1,18839.186,23711.688
1,THANJAVUR,LENTILS,1971,0,19991.273,25135.838
0,MADURAI,RICE,1965,1,20251.072,22758.738
0,PUDUKKOTTAI,WHEAT,1977,0,19754.094,22398.445
0,PUDUKKOTTAI,WHEAT,1958,0,19545.809,20468.152
1,THANJAVUR,LENTILS,1974,0,21250.18,24423.291
0,MADURAI,RICE,1983,0,20075.479,22289.768
1,THANJAVUR,WHEAT,1961,0,20753.311,26426.758
0,DINDIGUL,LENTILS,1959,0,20432.061,20543.564
0,MADURAI,WHEAT,1974,0,20658.438,21995.805
0,DINDIGUL,LENTILS,1970,0,19798.863,21776.506
0,KARUR,RICE,1978,0,19616.615,19245.32
1,THANJAVUR,COTTON,1969,1,22600.963,29096.453
0,PUDUKKOTTAI,WHEAT,1974,0,20304.982,21547.273
0,KARUR,RICE,1966,1,19924.027,20455.721
0,KARUR,RICE,1971,1,20257.693,23300.768
0,KARUR,RICE,1966,0,20027.641,22334.85
0,DINDIGUL,LENTILS,1966,0,20379.199,21788.57
1,THANJAVUR,RICE,1971,0,20228.461,23657.5
0,MADURAI,WHEAT,1964,0,19994.787,23206.961
0,MADURAI,RICE,1965,0,19304.35,23651.391
0,MADURAI,WHEAT,1964,0,20132.99,23141.119
1,THANJAVUR,WHEAT,1969,1,18060.879,22635.008
0,DINDIGUL,LENTILS,1962,1,20089.807,19058.484
0,KARUR,RICE,1976,0,18868.051,23477.629
0,PUDUKKOTTAI,WHEAT,1968,0,19725.287,22111.426
0,KARUR,RICE,1967,0,20237.342,20189.211
0,DINDIGUL,LENTILS,1974,0,20242.229,22330.354
1,THANJAVUR,RICE,1966,0,20644.809,22750.988
0,PUDUKKOTTAI,WHEAT,1967,0,19965.982,19931.496
0,MADURAI,RICE,1972,1,18748.803,20061.947
0,DINDIGUL,LENTILS,1976,1,19999.74,21361.139
0,TENKASI,LENTILS,1956,0,20521.318,24782.748
0,PUDUKKOTTAI,WHEAT,1968,0,20065.82,21690.725
1,THANJAVUR,RICE,nineteen seventy-two,0,19850.766,23574.717
0,DINDIGUL,LENTILS,1963,0,19936.523,21357.127
0,DINDIGUL,LENTILS,1962,0,20031.887,22771.184
0,MADURAI,RICE,1971,1,19943.363,20393.916
1,THANJAVUR,LENTILS,1964,0,19257.912,22667.736
0,PUDUKKOTTAI,WHEAT,1965,1,19773.832,22871.176
0,PUDUKKOTTAI,WHEAT,1969,0,20082.23,20704.244
1,THANJAVUR,RICE,1963,0,20985.547,24016.838
0,MADURAI,RICE,1965,0,19953.668,21601.75
0,TENKASI,LENTILS,1979,0,18930.496,21011.76
1,THANJAVUR,RICE,1967,1,19277.877,22726.307
0,MADURAI,WHEAT,1971,0,20116.27,22549.613
0,MADURAI,WHEAT,1975,0,19712.754,21814.461
0,TENKASI,LENTILS,1984,0,20540.506,23347.18
0,TENKASI,RICE,1959,0,19472.803,20134.631
0,DINDIGUL,LENTILS,1968,0,19723.842,20230.805
1,THANJAVUR,RICE,1962,0,19858.35,23189.666
1,THANJAVUR,LENTILS,1971,0,19838.439,25844.867
0,PUDUKKOTTAI,WHEAT,1960,1,19976.635,22534.193
0,TENKASI,RICE,1971,0,20283.6,21684.721
0,KARUR,RICE,1973,0,20626.941,23732.275
1,THANJAVUR,LENTILS,1966,1,18598.453,24306.936
0,KARUR,RICE,1969,1,19997.861,22646.719
1,THANJAVUR,WHEAT,1969,1,20523.949,26098.361
0,PUDUKKOTTAI,WHEAT,1963,0,20077.846,22602.314
0,TENKASI,LENTILS,1944,0,20086.322,20447.629
1,THANJAVUR,RICE,1965,0,20459.521,23569.715
0,MADURAI,WHEAT,1979,0,19084.996,20745.527
0,PUDUKKOTTAI,WHEAT,1970,0,19923.125,23218.881
0,TENKASI,RICE,1965,1,19912.166,21693.703
0,KARUR,RICE,1974,0,22745.408,24259.729
0,PUDUKKOTTAI,WHEAT,1974,0,18249.771,19043.973
0,KARUR,RICE,1980,0,18542.07,20740.129
0,TENKASI,LENTILS,1986,0,19977.643,23450.613
0,DINDIGUL,LENTILS,1966,0,20049.793,21221.926
0,PUDUKKOTTAI,WHEAT,nineteen seventy-three,0,20733.814,22637.576
0,DINDIGUL,LENTILS,1970,1,20033.572,21530.682
1,THANJAVUR,WHEAT,1969,1,20484.666,25426.342
0,MADURAI,WHEAT,1968,0,19985.861,21579.41
1,THANJAVUR,RICE,1964,1,20775.045,25245.068
0,DINDIGUL,LENTILS,1970,0,20111.816,22491.789
0,KARUR,RICE,1965,0,19763.502,20289.143
0,KARUR,RICE,1963,1,19848.58,22784.543
0,PUDUKKOTTAI,WHEAT,1970,0,20028.707,21220.213
0,TENKASI,LENTILS,1989,0,19171.521,20355.4
0,PUDUKKOTTAI,WHEAT,1971,1,20024.279,21612.383
0,KARUR,RICE,1972,0,21524.559,21888.041
0,PUDUKKOTTAI,WHEAT,1974,0,20011.035,22799.566
0,PUDUKKOTTAI,WHEAT,1973,0,18976.049,20682.615
1,THANJAVUR,WHEAT,1974,1,19141.893,25670.832
0,DINDIGUL,LENTILS,1969,1,19832.555,22231.211
0,PUDUKKOTTAI,WHEAT,1966,0,19974.855,21810.992
0,DINDIGUL,LENTILS,1966,0,20014.629,22330.859
0,TENKASI,RICE,1975,0,19747.41,23037.539
1,THANJAVUR,LENTILS,nineteen seventy-three,0,19618.91,25075.904
0,TENKASI,RICE,1981,1,20738.664,22645.77
1,THANJAVUR,WHEAT,1975,1,20287.414,25022.094
1,THANJAVUR,LENTILS,1968,0,20556.365,25671.09
0,DINDIGUL,LENTILS,1967,0,19967.813,22719.078
0,PUDUKKOTTAI,WHEAT,1974,1,18737.309,20547.896
0,TENKASI,RICE,1925,0,20037.75,22845.107
0,DINDIGUL,LENTILS,1964,1,20110.846,23704.672
1,THANJAVUR,LENTILS,1970,1,21170.637,25295.871
0,TENKASI,LENTILS,1954,0,20336.439,22639.719
0,KARUR,RICE,1968,1,20103.488,23748.506
0,KARUR,RICE,1964,0,20089.955,22085.26
0,DINDIGUL,LENTILS,1972,0,20349.516,24596.393
0,MADURAI,WHEAT,1970,1,19949.166,21446.135
0,KARUR,RICE,1964,0,20771.771,23829.156
0,MADURAI,WHEAT,1979,1,21645.836,22672.764
0,MADURAI,RICE,1965,0,20329.289,24297.031
1,THANJAVUR,LENTILS,1970,0,20969.516,26155.762
0,PUDUKKOTTAI,WHEAT,1969,0,20069.68,21152.693
1,THANJAVUR,WHEAT,1962,1,18867.717,22723.77
1,THANJAVUR,WHEAT,1962,0,20951.539,24990.213
1,THANJAVUR,RICE,1965,0,20655.428,25072.066
0,MADURAI,WHEAT,1964,0,19939.215,22602.73
0,PUDUKKOTTAI,WHEAT,1974,1,18181.232,18390.949
0,PUDUKKOTTAI,WHEAT,1967,0,20095.441,23533.811
1,THANJAVUR,LENTILS,1972,0,20517.891,24700.254
0,PUDUKKOTTAI,WHEAT,1966,0,19929.113,22542.691
1,THANJAVUR,RICE,nineteen seventy-three,0,19214.369,23247.705
0,DINDIGUL,LENTILS,1963,0,20170.219,21475.756
0,TENKASI,LENTILS,1972,1,20358.479,22666.281
0,PUDUKKOTTAI,WHEAT,1966,0,20205.846,21957.383
0,TENKASI,LENTILS,1951,0,19800.34,21158.943
0,MADURAI,WHEAT,1971,0,20064.566,22861.979
1,THANJAVUR,RICE,1969,1,20242.926,22248.393
1,THANJAVUR,WHEAT,1965,0,21088.123,24220.508
1,THANJAVUR,WHEAT,1966,1,21427.418,27198.617
0,KARUR,RICE,1964,0,20203.781,21214.936
1,THANJAVUR,WHEAT,1976,0,19756.426,25368.574
0,DINDIGUL,LENTILS,1970,0,19849.494,21268.391
0,TENKASI,RICE,1966,0,20121.982,23559.654
0,TENKASI,RICE,1968,0,19556.037,22053.326
0,MADURAI,WHEAT,1974,0,20903.709,21295.08
0,TENKASI,LENTILS,1937,0,20133.557,23208.068
0,KARUR,RICE,nineteen seventy-three,0,21287.186,22077.271
0,MADURAI,WHEAT,1977,0,20174.941,21942.412
0,MADURAI,RICE,1975,0,19932.764,21339.066
0,DINDIGUL,LENTILS,1970,0,20109.891,22362.314
0,MADURAI,RICE,1958,1,19925.777,21004.799
0,KARUR,RICE,1974,0,18656.686,20187.047
0,DINDIGUL,LENTILS,1963,0,19987.004,23852.322
0,TENKASI,RICE,1986,0,20668.709,23405.584
0,KARUR,RICE,1968,0,20194.078,23334.916
0,TENKASI,LENTILS,1980,0,20773.711,23237.234
0,TENKASI,RICE,1957,0,20333.848,22283.264
0,KARUR,RICE,nineteen seventy-three,0,21055.666,20785.791
0,MADURAI,WHEAT,1966,0,19976.727,22189.965
0,KARUR,RICE,1977,1,20201.336,21242.742
1,THANJAVUR,LENTILS,1974,1,19822.207,23782.807
0,PUDUKKOTTAI,WHEAT,1963,1,20085.377,20568.393
1,THANJAVUR,LENTILS,1968,0,19828.486,23250.684
1,THANJAVUR,RICE,1963,0,18089.658,21655.182
0,MADURAI,WHEAT,1972,1,18715.496,20810.838
1,THANJAVUR,COTTON,1970,0,20068.666,23709.779
0,PUDUKKOTTAI,WHEAT,1964,0,19727.002,21828.975
0,KARUR,RICE,1969,1,20244.795,21589.924
0,PUDUKKOTTAI,WHEAT,1978,0,19413.248,19844.494
0,PUDUKKOTTAI,WHEAT,1966,0,19688.385,19901.967
0,TENKASI,LENTILS,1972,0,18840.664,21456.607
0,MADURAI,WHEAT,1967,0,20136.297,22724.195
0,KARUR,RICE,1967,1,19663.596,23595.309
0,MADURAI,WHEAT,1976,0,20401.719,22713.184
0,DINDIGUL,LENTILS,1958,0,19924.074,22013.119
0,MADURAI,WHEAT,1977,0,19979.229,24018.709
0,DINDIGUL,LENTILS,1972,0,18222.977,20001.348
0,MADURAI,RICE,1970,0,20090.152,19808.49
0,TENKASI,LENTILS,1976,0,20153.652,23312.055
0,KARUR,RICE,1968,1,20107.309,22969.549
0,DINDIGUL,LENTILS,1968,0,19596.311,23071.439
0,KARUR,RICE,1972,1,20828.201,20466.703
0,MADURAI,RICE,1967,0,20366.857,21044.396
0,TENKASI,RICE,1942,1,19792.113,21069.422
0,DINDIGUL,LENTILS,1973,1,19675.455,22486.576
0,MADURAI,RICE,1971,0,19741.207,22259.707
0,PUDUKKOTTAI,WHEAT,1971,0,20133.42,22056.119
1,THANJAVUR,RICE,1968,0,21350.092,24613.498
0,TENKASI,RICE,1981,0,18873.059,19503.141
0,MADURAI,WHEAT,1975,0,20747.232,23549.219
0,KARUR,RICE,1972,0,18384.018,20410.104
0,MADURAI,RICE,1968,0,19864.496,20253.951
1,THANJAVUR,LENTILS,1969,0,20332.936,24059.818
0,PUDUKKOTTAI,WHEAT,1967,0,20234.662,23011.617
0,PUDUKKOTTAI,WHEAT,1965,0,19791.156,20961.701
0,TENKASI,RICE,1966,1,19917.543,21372.873
0,MADURAI,WHEAT,1970,1,19928.049,22062.145
0,PUDUKKOTTAI,WHEAT,1968,0,19990.908,23022.16
0,TENKASI,LENTILS,1959,0,19962.107,24428.529
0,DINDIGUL,LENTILS,1966,0,20349.314,22043.152
0,TENKASI,LENTILS,1961,0,19696.73,23291.336
0,DINDIGUL,LENTILS,1968,0,20034.303,22576.984
1,THANJAVUR,RICE,1976,1,19969.873,22840.189
0,MADURAI,WHEAT,1962,1,20152.123,21329.146
0,MADURAI,RICE,1975,1,19171.73,19317.111
0,KARUR,RICE,1970,0,20599.102,22045.764
0,MADURAI,RICE,1965,0,19919.6,20954.941
1,THANJAVUR,WHEAT,1971,1,19563.275,24073.076
0,MADURAI,RICE,1961,0,19396.309,22065.305
0,PUDUKKOTTAI,WHEAT,1967,0,19916.963,22421.588
0,MADURAI,RICE,nineteen seventy-three,0,20498.236,23299.959
0,PUDUKKOTTAI,WHEAT,1968,0,19937.604,21713.514
0,TENKASI,RICE,1989,0,19108.154,20630.512
0,TENKASI,RICE,1962,0,19456.227,21484.957
1,THANJAVUR,WHEAT,1972,0,19995.809,23675.604
1,THANJAVUR,RICE,1977,0,21300.9,25488.752
0,PUDUKKOTTAI,WHEAT,1965,1,20068.451,22945.379
0,KARUR,RICE,1972,1,19374.111,20895.723
0,DINDIGUL,LENTILS,1966,0,19793.779,19078.203
0,KARUR,RICE,1967,0,20089.412,20676.465
0,DINDIGUL,LENTILS,1972,0,21832.334,24602.246
0,PUDUKKOTTAI,WHEAT,1970,0,20085.34,21894.813
0,KARUR,RICE,1974,0,20395.707,23839.453
0,KARUR,RICE,1962,0,19566.691,22585.086
0,DINDIGUL,LENTILS,1965,0,20160.674,22649.697
0,MADURAI,WHEAT,1963,0,20065.865,22407.285
0,KARUR,RICE,1980,1,18795.426,22158.402
1,THANJAVUR,RICE,1959,0,17790.736,21408.361
1,THANJAVUR,RICE,1967,0,20961.012,26630.238
1,THANJAVUR,RICE,1965,0,18033.434,21135.422
0,MADURAI,WHEAT,1960,1,20166.303,23246.094
0,TENKASI,RICE,1956,0,20341.607,22579.584
0,DINDIGUL,LENTILS,1973,0,19872.652,22495.684
1,THANJAVUR,LENTILS,1972,1,18023.605,21818.504
0,KARUR,RICE,1965,0,20157.748,21691.604
0,PUDUKKOTTAI,WHEAT,1968,0,20094.748,23896.236
0,MADURAI,WHEAT,1977,1,18248.85,20433.039
0,PUDUKKOTTAI,WHEAT,1971,0,20031.766,22296.34
0,KARUR,RICE,1961,0,19698.959,21910.123
0,TENKASI,RICE,1989,0,19629.684,21268.322
0,MADURAI,RICE,1963,0,19899.896,21414.033
0,PUDUKKOTTAI,WHEAT,1970,0,20309.24,23468.639
0,PUDUKKOTTAI,WHEAT,1973,1,20119.662,22469.064
1,THANJAVUR,RICE,1967,0,20461.338,21359.617
0,DINDIGUL,LENTILS,1976,0,20806.045,22162.496
0,MADURAI,RICE,1976,1,18510.316,21122.811
0,DINDIGUL,LENTILS,1973,0,20954.016,23818.479
0,MADURAI,RICE,1970,0,19300.963,22207.666
0,PUDUKKOTTAI,WHEAT,1972,0,19788.121,20748.174
0,MADURAI,RICE,1968,1,19897.189,20239.283
0,TENKASI,RICE,1980,0,21131.852,21581.469
1,THANJAVUR,WHEAT,1968,1,20686.438,25782.467
0,KARUR,RICE,1965,0,19937.158,22023.816
0,DINDIGUL,LENTILS,1971,0,20039.291,22526.104
0,MADURAI,WHEAT,1970,0,20118.965,22299.787
0,TENKASI,RICE,1963,0,20422.563,22186.16
1,THANJAVUR,LENTILS,1978,0,17030.357,19695.871
1,THANJAVUR,RICE,1956,1,20693.5,23936.348
0,MADURAI,RICE,1959,0,19860.025,21765.617
0,MADURAI,WHEAT,1969,0,20283.656,22104.584
0,MADURAI,RICE,1963,0,20275.441,22955.949
1,THANJAVUR,LENTILS,1971,0,19940.748,25519.309
1,THANJAVUR,WHEAT,1977,0,21084.664,24482.529
0,DINDIGUL,LENTILS,1969,0,19954.074,23326.061
0,PUDUKKOTTAI,WHEAT,1975,1,20792.344,24638.768
1,THANJAVUR,RICE,nineteen seventy-three,1,20908.143,22915.787
1,THANJAVUR,RICE,1971,0,20493.297,23194.59
0,DINDIGUL,LENTILS,1974,0,19171.416,20718.051
0,PUDUKKOTTAI,WHEAT,1965,0,20041.328,21349.959
0,MADURAI,RICE,1962,0,19591.141,20654.283
0,KARUR,RICE,nineteen seventy-three,1,18228.896,20852.082
0,MADURAI,RICE,1964,0,20266.77,22726.277
0,PUDUKKOTTAI,WHEAT,1965,0,19565.975,21843.865
0,MADURAI,WHEAT,1965,1,20090.113,23326.9
0,DINDIGUL,LENTILS,1961,0,19943.381,22448.014
1,THANJAVUR,LENTILS,1963,1,20471.205,24273.955
0,PUDUKKOTTAI,WHEAT,1957,0,20163.977,21630.941
0,TENKASI,RICE,1981,0,19957.84,22118.418
0,PUDUKKOTTAI,WHEAT,1968,0,19886.535,21228.434
1,THANJAVUR,RICE,1971,1,19023.123,22477.461
1,THANJAVUR,LENTILS,1971,1,18847.875,23163.42
0,MADURAI,RICE,1967,0,19472.416,20702.166
0,KARUR,RICE,1974,0,18668,19800.049
0,KARUR,RICE,1966,0,19918.029,23004.508
0,PUDUKKOTTAI,WHEAT,1963,0,20031.211,21254.938
1,THANJAVUR,WHEAT,1965,1,19960,24760.943
1,THANJAVUR,LENTILS,1960,0,21240.75,25781.701
0,KARUR,RICE,1965,0,20166.75,22310.295
0,TENKASI,LENTILS,1983,1,19020.334,21155.463
0,DINDIGUL,LENTILS,1965,0,19932.928,22029.908
1,THANJAVUR,WHEAT,1976,1,19564.791,24640.43
0,MADURAI,WHEAT,1961,0,19797.393,22275.92
0,MADURAI,WHEAT,nineteen seventy-three,1,19175.195,22730.289
0,TENKASI,RICE,1959,0,19830.336,21872.424
0,KARUR,RICE,1978,0,19579.455,23403.434
0,KARUR,RICE,1968,1,19595.572,22242.465
0,KARUR,RICE,1969,0,19852.244,22086.248
0,TENKASI,RICE,1968,0,20139.193,23285.922
0,DINDIGUL,LENTILS,1964,0,19982.361,21384.002
1,THANJAVUR,WHEAT,1970,0,20858.002,25885.811
0,DINDIGUL,LENTILS,1971,0,19984.355,21627.039
0,KARUR,RICE,1968,0,19684.607,22467.197
0,KARUR,RICE,1974,0,20046.678,23698.742
1,THANJAVUR,RICE,1966,1,18548.752,21365.934
0,PUDUKKOTTAI,WHEAT,1968,0,19486.555,21091.707
1,THANJAVUR,RICE,1962,0,20121.725,23454.441
1,THANJAVUR,RICE,1977,1,20726.004,25198.984
0,KARUR,RICE,1969,0,19732.555,21198.467
1,THANJAVUR,RICE,1972,0,23097.203,25051.182
0,TENKASI,RICE,1958,0,19842.191,21066.734
0,MADURAI,WHEAT,1977,0,20650.031,22979.988
0,MADURAI,RICE,1957,1,19594.586,20999.719
0,DINDIGUL,LENTILS,1970,0,20006.967,22924.672
0,KARUR,RICE,1976,0,19683.961,23315.248
0,DINDIGUL,LENTILS,1964,0,20040.59,20664.887
0,PUDUKKOTTAI,WHEAT,1975,0,20584.637,23039.092
0,DINDIGUL,LENTILS,1969,0,20111.119,22371.393
0,DINDIGUL,LENTILS,1970,0,19901.838,21495.463
0,MADURAI,RICE,1983,0,23065.447,25811.008
0,PUDUKKOTTAI,WHEAT,1973,0,19689.605,20918.92
0,MADURAI,WHEAT,1973,0,20909.525,22255.107
0,TENKASI,LENTILS,1969,0,20090.988,23359.707
0,KARUR,RICE,1970,0,19669.533,21047.965
1,THANJAVUR,WHEAT,1970,0,20069.725,27005.617
0,KARUR,RICE,1969,0,20183.883,21819.119
1,THANJAVUR,RICE,1966,1,20073.693,25597.877
0,TENKASI,LENTILS,1968,0,19995.23,20976.928
0,KARUR,RICE,1969,0,20097.061,23100.252
0,MADURAI,WHEAT,1965,0,19962.219,21809.404
0,TENKASI,LENTILS,nineteen seventy-three,0,20239.842,21998.564
0,PUDUKKOTTAI,WHEAT,1970,0,20096.779,20663.422
0,DINDIGUL,LENTILS,1965,0,20242.646,20936.572
1,THANJAVUR,LENTILS,1968,0,20024.996,24459.795
0,MADURAI,WHEAT,1968,1,20044.172,20285.08
1,THANJAVUR,LENTILS,1966,0,19641.633,24781.418
0,MADURAI,WHEAT,1975,0,20319.418,21442.141
0,TENKASI,LENTILS,1965,0,19727.828,21450.387
0,MADURAI,RICE,1967,0,20037.066,22550.383
0,MADURAI,WHEAT,1968,1,20125.555,20201.936
0,TENKASI,RICE,1967,1,20362.148,21425.451
0,TENKASI,RICE,1966,0,19969.666,20286.016
1,THANJAVUR,RICE,1965,1,20740.723,24407.971
1,THANJAVUR,LENTILS,nineteen seventy-three,1,17017.521,21536.799
0,KARUR,RICE,1963,1,19278.771,21406.264
1,THANJAVUR,RICE,1969,0,20063.449,23873.021
0,DINDIGUL,LENTILS,1975,0,20382.164,21078.676
0,DINDIGUL,LENTILS,1971,0,20174.283,22451.164
0,TENKASI,RICE,1960,0,20312.934,23605.449
1,THANJAVUR,RICE,1976,0,19917.688,22656.914
0,PUDUKKOTTAI,WHEAT,1970,0,19913.252,23695.412
0,MADURAI,RICE,1970,0,19286.24,20726.998
0,KARUR,RICE,1971,0,20240.691,22743.307
0,MADURAI,WHEAT,nineteen seventy-three,1,19772.535,22641.48
0,PUDUKKOTTAI,WHEAT,1969,0,19864.932,22803.684
0,DINDIGUL,LENTILS,1966,0,20104.066,22514.225
0,KARUR,RICE,1956,0,20228.152,21225.084
0,KARUR,RICE,1966,0,19795.771,20722.307
1,THANJAVUR,LENTILS,1977,0,20094.697,23810.854
0,MADURAI,RICE,1969,1,20078.451,21780.781
