share_women,list_rank,reservation,female_leader,number_of_residents,per_capita_income_rupees,incorp_year,manufacturing_product_share,public_goods_number
.2987739,110,1,1,12861,119796,1883,.03,10
.2990641,111,1,1,17821,119875.5,1886,.0343235,10
.2994535,112,1,0,19143,118758.3,1889,.0336012,1
.2995742,113,1,0,14914,119947.1,1873,.0341519,1
.2998485,114,1,0,19061,119876.3,1889,.0328677,3
.3001105,115,1,1,11834,118578.4,1882,.03,9
.3004809,116,1,1,10635,119902.5,1894,.0391976,11
.3011014,117,1,1,25493,120938.8,1882,.03,12
.3012242,118,1,0,24553,119679.9,1854,.03,2
.3012787,119,1,1,21115,119566.7,1864,.0344829,9
.3024171,120,1,0,14373,121891.3,1877,.0317691,0
.3026043,121,1,1,9289,118245.6,1866,.0395447,10
.3028125,122,1,1,17521,119030.1,1858,.0392927,9
.3030714,123,1,0,16808,119589.9,1893,.03,3
.3035464,124,1,0,7631,119830.3,1854,.0327023,3
.3039984,125,1,0,15851,120485.8,1875,.0422844,2
.304449,126,1,0,12362,120487,1889,.0407789,2
.3045257,127,1,0,29445,120671.1,1886,.0381516,2
.3046028,128,1,0,15561,118412.5,1872,.0426564,1
.304989,129,1,0,9948,120729,1876,.04174,2
.3063744,130,1,1,21348,118493.1,1886,.0480121,12
.3065736,131,1,1,15231,119855.4,1866,.0418256,10
.3073074,132,1,0,14518,120874.1,1872,.0461722,2
.3077047,133,1,0,12652,120190.8,1877,.0365869,3
.3081321,134,1,1,2593,120882.7,1865,.0413387,11
.3081629,135,1,0,18215,119418.7,1892,.0393838,2
.308185,136,1,0,8450,118842,1851,.0460119,2
.308357,137,1,0,10605,119657,1867,.0470525,2
.3085944,138,1,0,10289,121040.2,1864,.0487077,3
.3090369,139,1,1,21263,119818.3,1860,.0387795,11
.3093087,140,1,0,2966,118706.1,1881,.0510767,1
.3095559,141,1,1,19630,119733.9,1866,.0441112,10
.3096638,142,1,0,20934,121001.3,1861,.0419232,3
.3101868,143,1,1,17081,120497.1,1859,.0333885,9
.310445,144,1,1,15400,119639.5,1852,.0412864,11
.3108309,145,1,0,10021,120551.4,1885,.0397652,2
.3121499,146,1,1,17505,119747.2,1852,.0464388,9
.3128166,147,1,0,5152,119761.4,1869,.0452728,2
.3129816,148,1,1,12720,119704.9,1852,.0345282,10
.3130076,149,1,0,15934,119707.8,1859,.051086,1
.3136733,150,1,0,19622,119825.1,1856,.0522942,2
.3140909,151,1,1,21099,119727.4,1884,.0424464,11
.314483,152,1,0,22411,120544.1,1891,.0443816,3
.3149672,153,1,1,11582,120115,1884,.0432865,11
.3153083,154,1,0,19762,120502.3,1866,.0429811,1
.3156587,155,1,0,10091,119468.6,1872,.0537878,3
.3161143,156,1,1,22531,119818.7,1892,.0418968,12
.3164354,157,1,1,12895,118455,1891,.0524926,10
.3173971,158,1,0,7654,120138.8,1881,.0448524,4
.3176016,159,1,0,15003,121725.3,1880,.0527944,1
.3176183,160,1,0,18452,120645.6,1867,.0595293,4
.3183261,161,1,1,11966,118686,1870,.0488285,9
.3191823,162,1,1,2022,119910.4,1866,.0394587,7
.3194745,163,1,0,11136,118372.7,1861,.053094,3
.3196651,164,1,1,9019,120287.8,1882,.0410081,10
.3199973,165,1,0,8965,120347.9,1874,.0537729,2
.3203587,166,1,0,13657,119352.5,1879,.0578504,2
.3208905,167,1,0,19154,120444.4,1884,.0472267,2
.3209894,168,1,1,11698,121277.1,1895,.0561556,9
.3209932,169,1,0,9407,119869.8,1874,.043037,2
.3210292,170,1,1,17956,120557.4,1851,.0506141,9
.321135,171,1,0,12857,119785.3,1851,.0515637,2
.3213564,172,1,1,17204,120442.8,1857,.0502833,11
.3215583,173,1,0,20178,120132,1856,.0600094,3
.3215754,174,1,0,15493,118684.3,1879,.0472554,0
.321666,175,1,0,6726,120818.3,1857,.0591419,3
.3217717,176,1,1,4309,120100.2,1876,.0544154,10
.32188,177,1,0,12235,120502.4,1874,.0596221,1
.3219226,178,1,0,15468,119596.1,1853,.0570331,0
.3221558,179,1,1,5435,117918.6,1858,.0497191,11
.3224727,180,1,0,13331,119770.9,1876,.0458362,3
.3227454,181,1,1,17744,120586.4,1893,.055401,10
.322935,182,1,0,23792,120770.8,1869,.0455745,3
.3229607,183,1,1,12808,120946.8,1878,.0579784,9
.3237095,184,1,1,20559,119622.2,1872,.052749,10
.3239378,185,1,0,18423,118526.6,1888,.0588664,1
.3242222,186,1,1,17071,119547.5,1893,.0433714,10
.324364,187,1,1,22487,119311.8,1864,.053634,8
.3248266,188,1,0,10933,119635,1874,.0622009,0
.3249997,189,1,0,11596,119762.8,1879,.0550656,3
.3250027,190,1,1,17041,119664.9,1880,.0585831,10
.3250586,191,1,1,14220,120675.5,1888,.0596963,9
.3251406,192,1,0,11617,119043.8,1858,.0617373,2
.3251704,193,1,0,15660,117904.2,1859,.0502957,3
.3251997,194,1,0,13582,120254.2,1851,.0567902,4
.3253763,195,1,1,20108,118581.7,1869,.0582361,10
.3253999,196,1,1,14374,121529.9,1892,.0622385,10
.3255451,197,1,1,11274,118835.2,1859,.0593968,10
.3261335,198,1,1,10774,119847,1869,.0505163,8
.3262302,199,1,1,12158,118116.2,1880,.0559818,9
.3262855,200,1,1,20528,119757,1877,.0580592,12
.3270945,201,1,1,16497,118459,1887,.0660839,10
.3280005,202,1,1,17018,119104.3,1870,.0607135,9
.3281552,203,1,0,16305,119366.4,1858,.0558485,2
.3284084,204,1,1,18156,119347.9,1868,.0658344,10
.3288625,205,1,0,12465,120193.2,1855,.0601696,3
.3291665,206,1,0,17273,118879.6,1856,.0597073,3
.3294097,207,1,0,14404,119804.5,1858,.0665837,0
.3294711,208,1,1,13346,119981.2,1862,.0586692,10
.329528,209,1,0,10124,120342.2,1886,.0710285,1
.3297264,210,1,1,15824,121063.6,1855,.0632939,11
.3298585,211,1,0,12278,119490.9,1873,.069092,3
.3301783,212,1,0,12297,118451.4,1874,.0511717,2
.3302329,213,1,0,17713,119695.9,1893,.0596261,1
.3306412,214,1,0,11631,119551.5,1886,.0594854,3
.33078,215,1,0,11175,120148.3,1874,.0640744,0
.3311026,216,1,1,17273,120437.5,1882,.0665104,10
.3311882,217,1,0,20479,120782.1,1870,.0666711,0
.3312455,218,1,0,14322,119780.9,1876,.0754239,2
.3316547,219,1,1,15997,119287.8,1872,.0684529,11
.3318452,220,1,1,21695,120093.2,1852,.0659821,9
.3320048,221,1,1,14695,121067.3,1887,.0622185,8
.3320918,222,1,1,14491,118650.3,1858,.0710195,8
.3322271,223,1,0,15292,120273.7,1872,.0654047,3
.3323359,224,1,0,26974,121718.3,1887,.0719368,3
.3328828,225,1,0,20960,120705.9,1873,.0604249,1
.3329292,226,1,1,11872,119484.4,1859,.06792,10
.3331067,227,1,0,19239,119138,1886,.0687509,2
.3332788,228,1,1,22530,119719,1886,.068783,10
.3332971,229,1,1,14419,121546.7,1862,.0687662,9
.3333679,230,1,0,17555,121468.6,1855,.0602372,2
.3337964,231,1,1,25361,118762.3,1855,.0662691,7
.3338062,232,1,1,13343,120269.6,1865,.064119,9
.3338561,233,1,1,23813,119122,1889,.0706345,9
.3338709,234,1,1,18647,117935,1877,.0640664,10
.3340496,235,1,0,14270,121098.1,1886,.0822011,4
.3344123,236,1,1,10290,120096,1860,.0753692,11
.3345028,237,1,0,10948,120348.3,1871,.069867,2
.3346038,238,1,0,9840,118125.6,1865,.0656851,5
.3351859,239,1,1,23527,120811.4,1890,.0775902,9
.3353477,240,1,1,17270,119854.9,1885,.0735027,11
.335397,241,1,1,12732,120199.7,1868,.0784125,10
.3354648,242,1,1,14454,122033.1,1887,.0752975,12
.3355525,243,1,0,20447,122756.3,1888,.0620251,3
.3357301,244,1,0,18988,120137.9,1865,.0658011,2
.3358376,245,1,0,18787,120367.2,1877,.0738409,2
.335851,246,1,1,18885,119484.1,1869,.074383,8
.3359908,247,1,1,5214,119631.1,1857,.0702623,9
.3360663,248,1,1,9075,120358,1860,.0678975,8
.3360986,249,1,0,16874,118313.6,1853,.0723043,2
.3363305,250,1,1,10408,119269.8,1877,.0615613,10
.3367485,251,1,0,8896,120912,1868,.0708412,2
.3370218,252,1,0,12220,121107.1,1884,.0835451,4
.337693,253,1,0,10530,119480,1862,.0762595,1
.3379579,254,1,1,19832,119734.8,1884,.0766611,10
.3379596,255,1,1,9178,119613.9,1850,.0767789,11
.338054,256,1,1,15565,118264.3,1887,.0767717,9
.3380836,257,1,0,19955,119207.2,1888,.0789016,1
.3381717,258,1,1,21357,119517.9,1889,.0777244,10
.338205,259,1,1,6495,120809.7,1879,.0685299,11
.3386188,260,1,1,13653,119560.4,1874,.0796559,11
.3389441,261,1,1,20756,120701.9,1865,.0840598,9
.3390571,262,1,0,8237,119695.8,1853,.0696018,1
.339102,263,1,1,13590,119551,1872,.0778265,10
.3392467,264,1,0,20100,119745.6,1892,.0872827,1
.339311,265,1,0,20807,119499.8,1873,.0819274,3
.3394324,266,1,1,17719,119962.9,1893,.0708577,9
.3395607,267,1,0,19580,119819.7,1872,.0849979,2
.34016,268,1,1,10826,120393.6,1860,.0725885,9
.3402046,269,1,1,13602,119097.3,1871,.0785347,9
.3406589,270,1,1,9502,121142,1866,.0800807,11
.3407661,271,1,0,16887,118919.6,1869,.0806707,4
.3408287,272,1,0,15937,120629.5,1892,.0776933,2
.3408567,273,1,0,23745,118349.4,1863,.0878261,3
.3410293,274,1,1,12855,120097.9,1855,.0804127,10
.3411632,275,1,1,13137,118814.7,1859,.0845405,12
.3411953,276,1,0,15006,117731.3,1867,.0816853,1
.341271,277,1,0,13172,118457.8,1858,.0787005,2
.3415092,278,1,0,16207,119786.2,1878,.0852165,0
.3417947,279,1,1,20464,120400.2,1893,.0761879,9
.3419746,280,1,1,13316,119626.7,1890,.0836837,9
.3419943,281,1,1,14085,117853.1,1876,.086387,11
.3422332,282,1,1,16434,120228.2,1863,.0772134,10
.34225,283,1,0,21672,119405.7,1875,.089713,0
.3422553,284,1,0,14206,119088.5,1864,.0867727,1
.3426521,285,1,1,14398,120092.1,1852,.0848395,10
.342979,286,1,1,6751,119959.3,1858,.0853612,11
.3434667,287,1,1,20175,121468.3,1853,.0894794,11
.3434988,288,1,1,14787,120783.8,1872,.0868779,10
.3438128,289,1,1,17622,120340.9,1867,.084155,11
.3439364,290,1,0,21285,118843,1873,.0914348,1
.3439952,291,1,1,22727,121073.1,1854,.0909174,11
.3440802,292,1,0,19497,120291.6,1866,.0935317,0
.344104,293,1,0,12612,120270.4,1884,.095561,2
.3441167,294,1,0,13663,118089.7,1872,.0910882,2
.3441597,295,1,1,15041,119912.5,1858,.0871903,9
.344361,296,1,1,13979,118626.5,1876,.0926277,9
.3444512,297,1,0,17525,120678.2,1853,.0963665,1
.3444744,298,1,1,16267,118114,1894,.0876898,9
.3450493,299,1,0,11645,119316.3,1879,.0879752,3
.345144,300,1,1,19129,117418.1,1882,.093827,10
.3452567,301,1,0,11258,117941.8,1872,.0910998,1
.3452599,302,1,1,9224,120122.5,1873,.0918562,13
.3452882,303,1,1,14266,121173,1860,.0907236,11
.345683,304,1,0,12208,121415.4,1885,.0916253,2
.3460816,305,1,0,11684,120165.6,1888,.1009316,3
.3461998,306,1,0,13145,118844.7,1856,.0887796,3
.3463542,307,1,1,17192,118613.1,1891,.0932813,9
.3465577,308,1,0,18739,118482.9,1887,.0910471,2
.3465776,309,1,0,12459,120106.6,1854,.0848917,3
.3467799,310,1,0,11782,119995.6,1884,.0922652,1
.34691,311,1,1,11298,118798,1885,.0938624,9
.347734,312,1,1,23159,119661,1859,.0870854,10
.3478793,313,1,1,16796,117109.5,1861,.0941067,11
.3490414,314,1,0,14679,119753.1,1860,.0978332,2
.3490665,315,1,1,8617,118215.3,1881,.09192,11
.3492807,316,1,1,16145,119930.6,1874,.0950394,9
.3493837,317,1,1,17371,118866,1866,.104569,11
.349709,318,1,0,7466,119317.1,1864,.0928304,3
.3497098,319,1,0,20118,118899.6,1865,.0866355,2
.3497189,320,1,0,20807,119900.6,1852,.0856649,2
.3497219,321,1,1,20439,119128.2,1864,.0988659,9
.3498135,322,1,0,12775,118860.6,1880,.0986391,4
.3502866,323,1,1,11707,119055.3,1873,.100327,11
.3503011,324,1,0,18755,117572.1,1858,.0999729,2
.3505176,325,1,1,7398,118167.7,1854,.104991,11
.3505622,326,1,0,17821,118607,1884,.0964467,2
.3507301,327,1,0,27465,119167.7,1851,.1115522,2
.3507798,328,1,1,11233,120756.6,1883,.0915859,11
.3512154,329,1,1,24155,118056.8,1877,.1000307,11
.3513248,330,1,0,11092,120099.4,1888,.0970002,3
.3513371,331,1,1,9797,120963.1,1887,.1052728,11
.3515269,332,1,1,10718,120825.3,1877,.1043902,13
.3517505,333,1,1,17231,120429.7,1870,.0971384,12
.3518158,334,1,0,7274,118467.9,1853,.1050323,1
.3519432,335,1,1,20297,118259.2,1851,.1068778,9
.3520487,336,1,0,12738,118157.5,1859,.099616,2
.3523389,337,1,0,8749,120385,1880,.1095627,2
.352465,338,1,1,11843,121161.8,1864,.1031159,9
.3537555,339,1,1,15400,120485.4,1894,.0993164,8
.3537717,340,1,0,12555,120473.4,1891,.104892,1
.3539152,341,1,1,17919,118773,1857,.1025952,9
.3541134,342,1,0,10217,118587.7,1856,.0950713,2
.3541547,343,1,1,20283,118817.9,1876,.1026054,9
.3544716,344,1,1,19060,119038.3,1874,.105751,9
.354504,345,1,1,3887,119095.8,1850,.0994127,10
.3556864,346,1,0,12586,119259.9,1882,.0980527,1
.3560402,347,1,0,15195,119546.9,1894,.0992284,3
.356203,348,1,0,11639,120242.6,1857,.0990872,2
.3562874,349,1,0,15745,120978.5,1856,.1125961,3
.356458,350,1,1,15128,118179.6,1865,.1044601,10
.3569826,351,1,1,15875,119383.1,1872,.1021415,11
.3572266,352,1,1,21296,120112.9,1890,.1065843,8
.3572559,353,1,0,12012,120751.4,1892,.108087,2
.3576194,354,1,0,20076,119616.2,1854,.1123083,4
.3577695,355,1,1,5272,119067.1,1872,.1080185,11
.3578016,356,1,0,13323,119131.9,1870,.107077,4
.3579019,357,1,0,14862,119951.1,1860,.1034976,3
.3579573,358,1,0,18674,118443.4,1872,.1049576,3
.3580481,359,1,1,20187,118980.7,1855,.1064433,10
.3581064,360,1,0,19967,117117.3,1874,.1064819,1
.3582931,361,1,0,20822,119142,1878,.1113217,4
.3583121,362,1,1,6738,119519,1866,.1094021,12
.3584068,363,1,1,19321,118940.3,1857,.10529,11
.3585133,364,1,0,14267,118373.4,1892,.101534,2
.3585584,365,1,1,27756,118931.8,1870,.1118957,9
.3586956,366,1,0,18927,120143.6,1877,.1067431,1
.3587578,367,1,1,20479,119540.3,1892,.110602,10
.3587596,368,1,0,11178,118176,1889,.105353,1
.3587779,369,1,0,21756,120159.1,1852,.1048061,3
.3587882,370,1,0,9892,117206.8,1857,.1162955,2
.3589193,371,1,0,15228,117457.7,1874,.1100061,1
.3590201,372,1,0,16072,120262,1854,.110368,0
.3592929,373,1,1,16829,121577.3,1864,.1123237,11
.3594182,374,1,0,16324,119360.8,1883,.1171141,3
.3595018,375,1,0,9854,118655.7,1889,.1072905,2
.3595058,376,1,1,22885,117326.2,1888,.1222624,11
.3596255,377,1,1,13852,120045.9,1888,.1131265,10
.3597571,378,1,1,15620,118920,1890,.1191879,10
.3598357,379,1,1,18657,118558.4,1871,.1155949,11
.3598578,380,1,1,18215,119499.8,1877,.1111773,11
.3600461,381,1,0,13231,119921.9,1875,.1094233,2
.3600534,382,1,1,9020,118081.2,1870,.1059963,11
.360238,383,1,0,6677,121700.2,1864,.1151709,4
.3602495,384,1,1,17695,118566.9,1866,.1138718,10
.3604151,385,1,1,15078,119926.6,1882,.108181,11
.3604322,386,1,1,18468,119499.1,1883,.1205472,10
.360498,387,1,1,14950,119199.6,1875,.11563,10
.3608856,388,1,0,22246,120458,1855,.1178777,3
.36123,389,1,1,14653,118738.2,1885,.116,11
.3615,390,1,1,15664,118134.8,1878,.1159099,9
.3616338,391,1,0,15610,119371,1867,.1137342,1
.3616821,392,1,0,20042,119646.7,1857,.1192596,4
.3616921,393,1,0,14537,120064.3,1857,.110656,3
.3617964,394,1,1,19138,117957.8,1876,.1088555,10
.3619795,395,1,0,16303,117763.9,1872,.1170113,3
.3620154,396,1,0,14762,118857.6,1882,.120979,3
.362147,397,1,1,21587,119395.3,1878,.1147089,9
.3621471,398,1,0,11315,120269.5,1856,.1260674,3
.3623238,399,1,0,20364,121315.6,1873,.1176383,1
.3623273,400,1,1,13283,119505,1893,.1233073,10
.3625037,401,1,0,14886,118508.5,1872,.1242361,4
.3625181,402,1,1,18577,119836.4,1874,.1274408,9
.3625741,403,1,1,14153,120307.1,1864,.1259374,11
.3625844,404,1,0,12641,119471.1,1875,.1211081,4
.3626103,405,1,1,11051,119346.5,1867,.1169889,11
.3627439,406,1,0,13429,117217.8,1893,.1254558,4
.3627583,407,1,1,11849,120503.9,1865,.1129689,11
.3628395,408,1,0,15746,119713,1867,.1221757,1
.3630451,409,1,1,19327,118475.3,1894,.1242557,11
.3633009,410,1,0,11734,119141.3,1850,.1362782,3
.3633831,411,1,0,18118,118542.4,1890,.1236913,2
.3635314,412,1,0,20503,119392.3,1856,.1270397,1
.3635539,413,1,0,16848,120151.1,1881,.12623,4
.3640143,414,1,1,18756,120600,1892,.1271254,12
.3641944,415,1,0,17939,120456.1,1856,.1311575,2
.3643017,416,1,0,17983,119109.9,1858,.1211822,1
.3643169,417,1,0,8074,118951.6,1893,.1157624,3
.3643321,418,1,1,12750,118845.3,1854,.1209346,9
.3643369,419,1,1,16234,118372.5,1854,.1319518,11
.3643512,420,1,1,15744,119036.4,1873,.1269517,11
.3646896,421,1,1,15146,119085.2,1879,.1237241,11
.3647202,422,1,0,12188,119661.6,1881,.1343786,2
.3648109,423,1,1,17315,117763.3,1890,.1322914,11
.3648633,424,1,1,19864,122254.5,1870,.1272485,9
.3650218,425,1,0,14881,119958.1,1857,.1264341,0
.36506,426,1,1,14630,120861,1889,.1380849,12
.3650896,427,1,0,10230,119074.9,1884,.1314456,1
.3651737,428,1,0,15740,120490.3,1888,.13469,3
.3654375,429,1,1,22402,119676.4,1855,.1264758,9
.3657041,430,1,0,14845,118240.7,1865,.1333251,1
.3658566,431,1,0,22444,117709.1,1893,.1322893,2
.3659767,432,1,0,12275,119647.1,1894,.1206444,1
.3661295,433,1,0,20802,119625,1890,.127382,2
.3662211,434,1,0,21840,118539,1881,.1247851,3
.3662902,435,1,0,10825,118053.8,1884,.1299901,2
.3663582,436,1,1,17871,119135.5,1878,.125196,11
.3665164,437,1,1,11609,118779,1887,.1436149,12
.3666983,438,1,1,21966,120359.1,1886,.133435,10
.3667599,439,1,1,21238,117414.2,1885,.1402626,9
.366957,440,1,1,15321,118712.1,1890,.134452,9
.3670203,441,1,0,11084,118525.6,1884,.1288934,2
.3673443,442,1,1,16216,116811.8,1856,.1329111,11
.3676507,443,1,1,13265,120090,1872,.13156,11
.367777,444,1,0,12518,118456.6,1853,.1319309,2
.367798,445,1,1,15817,118760.8,1860,.1398022,9
.3678115,446,1,0,7488,119497.3,1856,.1381174,3
.3680077,447,1,0,11351,120316.2,1859,.13229,2
.3680097,448,1,1,17355,118625.9,1885,.1372589,9
.3681291,449,1,1,19403,116820,1870,.1281784,10
.3682538,450,1,0,8420,119305.9,1863,.1276875,3
.3683918,451,1,1,24807,119243.5,1887,.1393716,11
.3687054,452,1,0,18302,118208.2,1860,.1322939,2
.3687312,453,1,0,12126,117962.1,1887,.1294753,1
.3687756,454,1,1,18317,118357.9,1856,.1408789,10
.368963,455,1,0,19063,119215,1865,.1339592,3
.3689702,456,1,0,13152,118872.3,1853,.1314609,2
.369031,457,1,1,5888,118455.4,1864,.13169,9
.3691803,458,1,0,14053,119658.9,1877,.1380391,0
.3694185,459,1,0,16005,121110.7,1864,.1448139,2
.3694617,460,1,0,20768,119189.9,1873,.1398407,1
.3695925,461,1,1,12346,119166,1869,.1395059,11
.3695963,462,1,0,12761,118135,1895,.1325609,1
.3696385,463,1,1,20002,118351.9,1871,.142587,9
.3696593,464,1,1,12848,119484.6,1861,.1419713,10
.3697419,465,1,1,4494,118205.5,1856,.1320985,10
.369838,466,1,0,17328,118868.8,1856,.1431176,3
.3698638,467,1,0,8984,117982.8,1852,.1404228,2
.3698928,468,1,1,10688,119599.8,1872,.1412903,12
.3700836,469,1,0,13017,120563.3,1863,.1425787,2
.3703098,470,1,1,20708,119084.7,1863,.1464031,11
.3703274,471,1,1,13035,119817.8,1852,.1379674,10
.3703318,472,1,1,19685,120390.6,1863,.1447081,10
.3703712,473,1,0,4271,116627.3,1873,.1413966,3
.3706776,474,1,1,16330,120503.7,1887,.1401709,10
.3706992,475,1,1,14495,116815.3,1895,.1441519,12
.370706,476,1,1,21709,121936.9,1889,.1413935,10
.3707721,477,1,0,13553,117928.8,1894,.1348656,2
.3709739,478,1,1,10829,120725,1858,.1382956,10
.3710135,479,1,1,20610,120235,1890,.1430593,10
.3714565,480,1,1,8534,118308.1,1861,.143508,10
.3715815,481,1,0,20645,118314.7,1877,.1427814,2
.3717113,482,1,0,18113,119470.8,1881,.147791,3
.371727,483,1,1,23281,119085,1887,.1375458,10
.3718736,484,1,1,9719,117985,1881,.1512731,10
.3720435,485,1,0,13572,119722.9,1855,.1452021,0
.3721395,486,1,0,22097,117403.8,1865,.1518161,2
.3722816,487,1,1,11455,118306,1882,.152187,10
.3724813,488,1,1,14739,119137.7,1855,.1519521,9
.3724899,489,1,1,14618,119175.1,1866,.139441,9
.3725461,490,1,1,16422,118141.1,1860,.1394639,9
.3726621,491,1,1,16073,118668,1863,.1537079,9
.3728648,492,1,0,8378,119036.5,1875,.1451127,2
.3729528,493,1,0,8708,118896.6,1867,.1561666,2
.3729555,494,1,1,22477,117854,1854,.1495612,10
