keller_trt,keller_trt_yes,baseline_hhsize,baseline_payments,baseline_elec_use,baseline_hh_head_age,endline_hhsize,endline_payments,endline_elec_use,endline_hh_head_age
0,0,6,182.159,641.4403,41,6,80362.37,641.4403,42
0,0,12,131.5279,127.0445,43,12,16012.76,127.0445,44
0,0,10,207.8096,331.3484,43,10,41626.99,331.3484,44
0,0,10,228.1376,93.72813,35,10,11944.59,93.72813,36
0,0,8,238.2367,909.4501,32,8,113920.1,909.4501,33
0,0,9,217.8434,126.4272,32,9,16022.1,126.4272,33
0,0,11,32.08448,250.8753,36,11,31391.84,250.8753,37
0,0,12,183.2713,692.9474,29,12,86801.91,692.9474,30
0,0,10,205.4705,809.0858,31,10,101341.8,809.0858,32
0,0,9,86.19953,700.5173,36,9,87651.14,700.5173,37
0,0,7,209.8277,22.94225,41,7,3078.323,22.94225,42
0,0,6,103.3772,224.5302,42,6,28169.79,224.5302,43
0,0,6,225.1456,480.312,27,6,60265.05,480.312,28
0,0,9,141.8823,588.8043,38,9,73742.97,588.8043,39
0,0,5,241.3886,346.1397,38,5,43509.57,346.1397,39
0,0,8,99.73393,315.9491,27,8,39593.41,315.9491,28
0,0,9,76.58611,48.41004,39,9,6128.111,48.41004,40
0,0,7,124.5258,157.736,37,7,19842.32,157.736,38
0,0,10,61.66109,292.4256,27,10,36615.16,292.4256,28
0,0,2,89.12646,212.2063,30,2,26615.75,212.2063,31
0,0,7,53.16523,143.3803,42,7,17976.12,143.3803,43
0,0,7,237.8473,775.6309,32,7,97192.09,775.6309,33
0,0,7,187.4488,624.7991,30,7,78287.4,624.7991,31
0,0,6,67.66153,154.2906,36,6,19354.38,154.2906,37
0,0,13,91.55762,256.7716,37,13,32188.65,256.7716,38
0,0,8,228.2922,93.4612,29,8,11911.43,93.4612,30
0,0,6,181.8592,631.9026,43,6,79169.86,631.9026,44
0,0,5,178.0974,824.7921,32,5,103278,824.7921,33
0,0,8,4.966717,454.2715,33,8,56789.35,454.2715,34
0,0,7,245.8331,189.785,48,7,23969.62,189.785,49
0,0,7,55.74276,1496.572,36,7,187127.7,1496.572,37
0,0,3,5.52039,190.3922,39,3,23804.95,190.3922,40
0,0,7,242.0553,135.2214,39,7,17145.58,135.2214,40
0,0,10,65.26376,574.304,42,10,71853.7,574.304,43
0,0,8,136.1677,51.83468,41,8,6616.425,51.83468,42
0,0,8,254.239,209.1895,34,8,26403.66,209.1895,35
0,0,7,40.71561,153.5864,41,7,19240.01,153.5864,42
0,0,9,1.160885,337.2816,39,9,42161.87,337.2816,40
0,0,10,236.3728,1237.147,31,10,154879.9,1237.147,32
0,0,9,223.5488,328.6321,43,9,41302.98,328.6321,44
0,0,8,235.9068,253.5716,40,8,31933.3,253.5716,41
0,0,10,70.33292,35.06301,41,10,4453.307,35.06301,42
0,0,6,221.5604,569.7726,39,6,71443.9,569.7726,40
0,0,10,101.661,6.535566,43,10,918.9572,6.535566,44
0,0,7,92.75555,3.758344,26,7,563.2749,3.758344,27
0,0,8,46.31778,909.1974,33,8,113696.2,909.1974,34
0,0,6,76.33926,89.74672,36,6,11295.38,89.74672,37
0,0,8,64.46613,382.44,39,8,47869.85,382.44,40
0,0,2,6.744128,174.1941,40,2,21781.55,174.1941,41
0,0,8,13.59009,16.3105,35,8,2052.93,16.3105,36
0,0,10,48.19056,386.4703,35,10,48357.32,386.4703,36
0,0,4,50.56944,202.2589,26,4,25333.42,202.2589,27
0,0,9,8.623062,413.8912,37,9,51746.02,413.8912,38
0,0,11,204.3144,27.65951,36,11,3662.692,27.65951,37
0,0,5,227.9486,113.0749,38,5,14363.11,113.0749,39
0,0,4,158.1464,543.5083,41,4,68097.19,543.5083,42
0,0,6,25.25441,600.7333,33,6,75117.81,600.7333,34
0,0,5,229.2661,289.5352,25,5,36421.33,289.5352,26
0,0,11,117.3868,1017.917,39,11,127357.4,1017.917,40
0,0,8,124.4446,513.0234,43,8,64252.62,513.0234,44
0,0,7,192.0055,1586.725,29,7,198533.6,1586.725,30
0,0,10,39.88135,475.758,39,10,59509.77,475.758,40
0,0,8,244.1941,53.34731,42,8,6912.773,53.34731,43
0,0,9,23.39055,1181.186,35,9,147672.6,1181.186,36
0,0,10,252.2291,573.3278,36,10,71918.28,573.3278,37
0,0,6,9.876742,65.76619,35,6,8230.718,65.76619,36
0,0,7,146.8024,723.7276,39,7,90612.77,723.7276,40
0,0,11,228.5974,227.2595,31,11,28636.71,227.2595,32
0,0,8,96.87052,25.58249,46,8,3294.687,25.58249,47
0,0,8,237.2551,786.6965,31,8,98574.87,786.6965,32
0,0,7,43.56132,467.1426,37,7,58436.89,467.1426,38
0,0,11,186.5903,355.0029,32,11,44562.86,355.0029,33
0,0,8,148.1409,33.46679,30,8,4331.569,33.46679,31
0,0,8,53.10928,411.8141,41,8,51530.87,411.8141,42
0,0,10,45.27837,556.3782,38,10,69592.67,556.3782,39
0,0,9,159.0355,177.1024,34,9,22296.92,177.1024,35
0,0,8,187.8775,108.4413,40,8,13743.26,108.4413,41
0,0,10,191.0429,269.3076,33,10,33854.89,269.3076,34
0,0,7,168.8192,369.8647,32,7,46401.93,369.8647,33
0,0,9,183.5678,71.61047,45,9,9134.904,71.61047,46
0,0,8,156.436,182.1828,31,8,22929.72,182.1828,32
0,0,9,236.2394,332.6774,34,9,41821.85,332.6774,35
0,0,10,.961036,471.3931,30,10,58925.45,471.3931,31
0,0,6,111.0898,44.65416,37,6,5693.256,44.65416,38
0,0,12,114.2093,526.9617,33,12,65985.38,526.9617,34
0,0,6,17.36526,137.7551,35,6,17237.14,137.7551,36
0,0,10,190.2748,36.79134,33,10,4789.958,36.79134,34
0,0,7,.0278301,901.0198,31,7,112627.8,901.0198,32
0,0,9,71.21428,386.5269,29,9,48387.67,386.5269,30
0,0,8,24.56336,239.7148,41,8,29989.82,239.7148,42
0,0,8,144.2597,854.9026,34,8,107007.6,854.9026,35
0,0,11,232.3552,408.4051,32,11,51283.36,408.4051,33
0,0,8,46.12986,375.5819,38,8,46994.73,375.5819,39
0,0,9,171.1033,115.3151,36,9,14586.27,115.3151,37
0,0,5,19.70522,161.2661,34,5,20178.55,161.2661,35
0,0,7,166.7469,354.9018,33,7,44529.47,354.9018,34
0,0,11,125.8225,82.64025,36,11,10456.04,82.64025,37
0,0,7,34.77834,1365.513,32,7,170724.5,1365.513,33
0,0,8,100.676,375.4632,33,8,47034.28,375.4632,34
0,0,5,106.7062,706.6686,33,5,88441.02,706.6686,34
0,0,8,120.4714,283.1028,42,8,35508.95,283.1028,43
0,0,9,209.4152,916.5265,32,9,114775.8,916.5265,33
0,0,8,102.405,350.0874,43,8,43864.17,350.0874,44
0,0,7,144.4741,74.10493,33,7,9407.958,74.10493,34
0,0,8,192.0615,1104.272,40,8,138226.4,1104.272,41
0,0,8,146.6939,351.3436,35,8,44065.23,351.3436,36
0,0,8,212.4442,312.7228,37,8,39302.87,312.7228,38
0,0,11,163.0091,286.2812,23,11,35948.52,286.2812,24
0,0,5,222.5159,493.3569,40,5,61892.49,493.3569,41
0,0,6,127.3917,1158.535,36,6,144945.1,1158.535,37
0,0,6,84.98994,314.3461,41,6,39378.46,314.3461,42
0,0,9,143.4,610.3772,37,9,76441.52,610.3772,38
0,0,6,208.4531,170.9251,40,6,21574.42,170.9251,41
0,0,3,164.892,160.036,41,3,20169.89,160.036,42
0,0,6,120.2269,855.5582,29,6,107065.2,855.5582,30
0,0,8,91.97748,1175.759,28,8,147062.7,1175.759,29
0,0,5,100.9984,1362.438,32,5,170406.7,1362.438,33
0,0,8,252.3192,699.0421,37,8,87632.82,699.0421,38
0,0,11,69.08267,387.8847,30,11,48555.26,387.8847,31
0,0,11,87.83849,427.3494,29,11,53507.41,427.3494,30
0,0,8,125.4917,744.0273,37,8,93128.99,744.0273,38
0,0,10,134.5821,177.4261,36,10,22313.2,177.4261,37
0,0,7,130.6332,95.99635,36,7,12130.24,95.99635,37
0,0,6,131.311,69.25194,30,6,8788.234,69.25194,31
0,0,11,180.7297,464.7177,40,11,58270.55,464.7177,41
0,0,9,60.26138,329.2741,37,9,41219.6,329.2741,38
0,0,8,245.7214,118.7748,37,8,15093.3,118.7748,38
0,0,11,199.9336,139.9144,35,11,17689.54,139.9144,36
0,0,5,151.3338,203.4359,33,5,25581.73,203.4359,34
0,0,6,203.1718,144.5136,26,6,18267.46,144.5136,27
0,0,10,97.75757,535.4183,34,10,67026.03,535.4183,35
0,0,9,138.0594,1430.116,38,9,178903.2,1430.116,39
0,0,6,96.26801,25.49812,29,6,3283.536,25.49812,30
0,0,10,255.373,139.1756,39,10,17652.8,139.1756,40
0,0,8,28.26499,1.933094,29,8,270.1273,1.933094,30
0,0,8,131.1172,225.0397,31,8,28261.77,225.0397,32
0,0,7,146.9092,22.79701,38,7,2996.962,22.79701,39
0,0,8,90.78556,67.70406,43,8,8554.438,67.70406,44
0,0,6,174.1621,57.2622,34,6,7332.534,57.2622,35
0,0,9,66.32477,118.9749,33,9,14938.31,118.9749,34
0,0,10,67.63037,260.914,26,10,32682.17,260.914,27
0,0,11,65.31048,502.9386,36,11,62933.54,502.9386,37
0,0,7,161.4124,889.152,30,7,111305.8,889.152,31
0,0,12,170.9186,77.24011,32,12,9826.127,77.24011,33
0,0,9,109.2481,97.21809,33,9,12262.22,97.21809,34
0,0,7,101.6847,58.82098,42,7,7454.797,58.82098,43
0,0,10,140.5632,797.8338,34,10,99870.06,797.8338,35
0,0,5,71.59761,173.3989,40,5,21747.21,173.3989,41
0,0,6,248.4506,321.2381,37,6,40404.13,321.2381,38
0,0,10,126.9505,149.6499,40,10,18833.8,149.6499,41
0,0,6,120.6378,171.4421,31,6,21551.24,171.4421,32
0,0,6,246.5772,908.6276,36,6,113825.6,908.6276,37
0,0,10,234.5072,907.7339,39,10,113702.2,907.7339,40
0,0,13,65.5995,27.66166,32,13,3524.098,27.66166,33
0,0,7,118.2812,489.4079,29,7,61295.01,489.4079,30
0,0,6,214.8158,945.0364,36,6,118345.3,945.0364,37
0,0,10,97.56459,206.8866,38,10,25958.8,206.8866,39
0,0,8,24.15746,103.6908,39,8,12986.23,103.6908,40
0,0,11,114.0517,80.15758,34,11,10133.89,80.15758,35
0,0,10,138.9306,435.4365,32,10,54568.72,435.4365,33
0,0,8,202.2246,196.427,40,8,24756.23,196.427,41
0,0,9,222.2209,40.48357,40,9,5283.234,40.48357,41
0,0,8,71.85714,620.2691,27,8,77605.63,620.2691,28
0,0,7,18.6284,1610.628,31,7,201347.8,1610.628,32
0,0,10,106.8921,10.403,39,10,1408.165,10.403,40
0,0,8,196.0727,693.7103,47,8,86910.39,693.7103,48
0,0,8,227.5645,158.4075,39,8,20028.52,158.4075,40
0,0,9,76.33826,605.8946,38,9,75814.13,605.8946,39
0,0,10,185.7576,283.9302,38,10,35677.92,283.9302,39
0,0,7,214.0908,994.5095,32,7,124528.7,994.5095,33
0,0,10,47.39639,358.7614,23,10,44893.51,358.7614,24
0,0,7,57.69578,5.104805,33,7,695.8925,5.104805,34
0,0,8,236.7083,129.6107,26,8,16438.22,129.6107,27
0,0,10,100.7286,90.55983,38,10,11421.38,90.55983,39
0,0,7,102.2972,139.5815,32,7,17550.04,139.5815,33
0,0,10,75.70395,859.0963,33,10,107463.4,859.0963,34
0,0,10,49.47731,220.0535,33,10,27556.7,220.0535,34
0,0,10,20.68729,990.7215,46,10,123861.1,990.7215,47
0,0,3,53.05272,613.1182,35,3,76693.54,613.1182,36
0,0,9,226.0917,250.2435,25,9,31507.24,250.2435,26
0,0,6,16.93148,677.9993,27,6,84767.29,677.9993,28
0,0,6,233.9586,6.383214,36,6,1032.182,6.383214,37
0,0,7,47.79377,640.2144,35,7,80074.65,640.2144,36
0,0,7,141.9005,587.5216,36,7,73582.25,587.5216,37
0,0,9,126.9288,298.3068,31,9,37415.5,298.3068,32
0,0,10,102.1722,35.38874,21,10,4526.1,35.38874,22
0,0,9,26.9135,168.0881,36,9,21038.45,168.0881,37
0,0,6,139.1446,870.9675,30,6,109010.3,870.9675,31
0,0,7,24.64668,208.2398,32,7,26055.13,208.2398,33
0,0,8,177.5654,256.2891,34,8,32214.67,256.2891,35
0,0,4,132.7632,385.2299,36,4,48287.09,385.2299,37
0,0,5,194.2151,297.9749,33,5,37441.71,297.9749,34
0,0,8,219.6606,513.5231,32,8,64410.75,513.5231,33
0,0,9,159.8948,417.4947,37,9,52347.1,417.4947,38
0,0,6,94.51186,245.5635,39,6,30790.59,245.5635,40
0,0,13,110.0605,407.1575,27,13,51005.28,407.1575,28
0,0,8,229.2039,134.04,35,8,16984.35,134.04,36
0,0,8,188.1196,429.3351,29,8,53855.48,429.3351,30
0,0,9,1.778426,567.103,28,9,70890.59,567.103,29
0,0,12,5.86556,188.9922,20,12,23630.65,188.9922,21
0,0,11,111.6375,331.8626,39,11,41595.4,331.8626,40
0,0,8,50.19996,317.3125,38,8,39714.36,317.3125,39
0,0,11,91.51218,184.0305,44,11,23096.09,184.0305,45
0,0,10,51.7734,572.4585,33,10,71609.6,572.4585,34
0,0,7,247.1562,72.95284,33,7,9367.042,72.95284,34
0,0,6,133.8205,828.7476,37,6,103728,828.7476,38
0,0,9,157.5141,1563.291,28,9,195569.9,1563.291,29
0,0,7,139.1331,268.2993,31,7,33676.81,268.2993,32
0,0,10,34.61444,174.4046,43,10,21836.08,174.4046,44
0,0,10,170.8364,27.03303,29,10,3550.29,27.03303,30
0,0,8,182.5974,147.29,27,8,18594.68,147.29,28
0,0,12,131.8388,913.8181,36,12,114359.5,913.8181,37
0,0,9,200.7101,857.7307,38,9,107417.7,857.7307,39
0,0,8,1.4269,818.7441,32,8,102344.9,818.7441,33
0,0,7,212.7064,448.7286,45,7,56303.84,448.7286,46
0,0,11,160.0816,1025.974,33,11,128406.8,1025.974,34
0,0,9,66.13696,9.467104,41,9,1249.87,9.467104,42
0,0,7,202.9276,465.6285,33,7,58406.93,465.6285,34
0,0,9,38.1002,725.6518,37,9,90745.04,725.6518,38
0,0,7,158.1508,295.9218,33,7,37148.91,295.9218,34
0,0,9,196.8443,67.29442,33,9,8608.821,67.29442,34
0,0,6,163.979,114.4854,39,6,14474.88,114.4854,40
0,0,6,124.2159,358.6062,37,6,44950.51,358.6062,38
0,0,9,23.87894,44.60658,43,9,5599.729,44.60658,44
0,0,8,4.330088,242.6365,26,8,30334.41,242.6365,27
0,0,6,117.4651,149.7245,27,6,18833.75,149.7245,28
0,0,6,94.84802,17.45455,43,6,2277.663,17.45455,44
0,0,6,138.1086,33.18279,34,6,4286.247,33.18279,35
0,0,7,191.6839,55.82587,34,7,7170.535,55.82587,35
0,0,10,223.6188,670.9415,34,10,84092.28,670.9415,35
0,0,8,28.75249,319.5613,28,8,39974.78,319.5613,29
0,0,7,256.0063,1035.221,51,7,129659.3,1035.221,52
0,0,8,89.46961,62.60202,36,8,7914.904,62.60202,37
0,0,6,51.69746,61.42746,39,6,7730.799,61.42746,40
0,0,11,79.84396,83.6062,37,11,10531.42,83.6062,38
0,0,7,83.44843,976.3052,29,7,122121.6,976.3052,30
0,0,6,163.653,608.3644,33,6,76209.37,608.3644,34
0,0,11,196.7352,780.7965,32,11,97796.46,780.7965,33
0,0,5,45.49971,206.018,33,5,25798.08,206.018,34
0,0,9,140.8338,398.6073,34,9,49967.57,398.6073,35
0,0,7,36.15903,137.0786,32,7,17171.61,137.0786,33
0,0,4,244.3785,302.0931,37,4,38006.62,302.0931,38
0,0,6,58.8434,25.33306,30,6,3225.786,25.33306,31
0,0,6,11.32437,72.16188,36,6,9031.904,72.16188,37
0,0,6,9.259247,479.7557,32,6,59979.3,479.7557,33
0,0,9,33.39114,33.50516,39,9,4221.98,33.50516,40
0,0,9,35.26254,465.6925,38,9,58246.88,465.6925,39
0,0,13,145.7971,180.6361,35,13,22726.14,180.6361,36
0,0,6,143.891,186.696,35,6,23481.24,186.696,36
0,0,9,86.28155,412.0506,34,9,51592.72,412.0506,35
0,0,7,34.8941,349.7169,33,7,43750.29,349.7169,34
0,0,12,128.2854,203.8631,34,12,25612.06,203.8631,35
0,0,10,35.86477,638.6644,35,10,79869.61,638.6644,36
0,0,7,19.65607,149.4764,41,7,18704.59,149.4764,42
0,0,8,195.3976,29.93961,28,8,3938.379,29.93961,29
0,0,12,44.9007,550.2989,38,12,68832.52,550.2989,39
0,0,10,1.67895,142.81,44,10,17853.33,142.81,45
0,0,8,88.82424,1479.09,28,8,184976,1479.09,29
0,0,10,208.6435,1715.837,26,10,214688.3,1715.837,27
0,0,8,240.6076,105.4471,35,8,13422.01,105.4471,36
0,0,6,68.4522,519.1477,30,6,64962.48,519.1477,31
0,0,7,32.62687,885.4243,30,7,110710.8,885.4243,31
0,0,8,14.11424,906.7242,40,8,113354.9,906.7242,41
0,0,5,163.1079,128.3521,39,5,16207.38,128.3521,40
0,0,6,246.206,57.10633,36,6,7384.927,57.10633,37
0,0,7,42.52645,115.8947,41,7,14530.11,115.8947,42
0,0,8,130.1431,26.67881,30,8,3465.621,26.67881,31
0,0,11,94.92809,252.3966,32,11,31645.12,252.3966,33
0,0,6,40.20127,400.9121,33,6,50154.82,400.9121,34
0,0,8,111.0993,1552.411,30,8,194163.4,1552.411,31
0,0,7,222.8094,697.563,32,7,87418.61,697.563,33
0,0,8,152.6112,112.8857,35,8,14263.56,112.8857,36
0,0,6,156.3975,413.8851,36,6,51892.13,413.8851,37
0,0,7,71.0778,26.20335,38,7,3347.332,26.20335,39
0,0,8,25.60118,99.12753,25,8,12416.88,99.12753,26
0,0,7,143.9477,322.8997,40,7,40507.41,322.8997,41
0,0,6,51.30013,606.1346,34,6,75818.64,606.1346,35
0,0,7,117.8644,397.5002,36,7,49805.73,397.5002,37
0,0,8,26.17817,309.39,36,8,38700.67,309.39,37
0,0,8,52.79541,199.5987,43,8,25003.55,199.5987,44
0,0,5,168.7178,1907.211,37,5,238571,1907.211,38
0,0,7,170.9456,365.0773,43,7,45806.04,365.0773,44
0,0,8,183.3504,522.101,32,8,65446.57,522.101,33
0,0,7,234.0416,471.7045,41,7,59197.57,471.7045,42
0,0,6,159.5277,301.9981,43,6,37909.56,301.9981,44
0,0,6,194.8484,332.1148,41,6,41709.57,332.1148,42
0,0,11,43.12305,434.34,29,11,54335.91,434.34,30
0,0,8,28.09097,128.9533,31,8,16147.51,128.9533,32
0,0,6,23.80802,616.3244,43,6,77064.43,616.3244,44
0,0,9,148.9918,67.06672,35,9,8533.318,67.06672,36
0,0,10,154.1072,208.125,39,10,26170.68,208.125,40
0,0,9,194.1195,207.6815,34,9,26154.82,207.6815,35
0,0,9,36.06793,129.3757,34,9,16208.77,129.3757,35
0,0,7,224.6138,2.709838,32,7,563.9857,2.709838,33
0,0,11,150.8556,844.7561,37,11,105746.3,844.7561,38
0,0,9,132.5571,812.7788,33,9,101730,812.7788,34
0,0,6,237.7021,10.86496,26,6,1595.993,10.86496,27
0,0,9,90.25673,167.7358,40,9,21057.72,167.7358,41
0,0,7,153.4873,106.2209,41,7,13431.94,106.2209,42
0,0,8,127.0889,208.5592,29,8,26197.55,208.5592,30
0,0,9,208.9477,25.18241,25,9,3357.601,25.18241,26
0,0,9,37.55156,115.7375,43,9,14504.95,115.7375,44
0,0,9,79.86567,151.2968,41,9,18992.24,151.2968,42
0,0,6,113.6958,147.8961,41,6,18601.22,147.8961,42
0,0,13,190.0019,558.5769,43,13,70012.55,558.5769,44
0,0,5,173.9478,518.0115,34,5,64926.21,518.0115,35
0,0,3,39.94866,1217.975,27,3,152287.1,1217.975,28
0,0,9,202.5854,1372.77,44,9,171799.4,1372.77,45
0,0,9,38.35782,26.01339,36,9,3290.441,26.01339,37
0,0,8,98.89553,216.0338,29,8,27103.4,216.0338,30
0,0,6,123.0462,128.0203,37,6,16125.9,128.0203,38
0,0,6,46.67106,318.1545,42,6,39816.82,318.1545,43
0,0,11,210.0572,66.81796,45,11,8562.396,66.81796,46
0,0,9,93.74671,514.4369,32,9,64399.27,514.4369,33
0,0,7,105.6007,69.56301,26,7,8801.263,69.56301,27
0,0,9,209.465,327.9857,38,9,41208.05,327.9857,39
0,0,8,72.93665,517.2719,41,8,64732.28,517.2719,42
0,0,7,146.5864,292.9003,30,7,36759.39,292.9003,31
0,0,7,175.2467,192.0087,34,7,24177.31,192.0087,35
0,0,8,114.4042,37.36414,44,8,4785.793,37.36414,45
0,0,3,71.15252,197.8509,31,3,24802.58,197.8509,32
0,0,10,181.9973,44.84261,35,10,5787.819,44.84261,36
0,0,6,88.61866,88.12054,30,6,11103.88,88.12054,31
0,0,10,182.5209,5.312134,36,10,847.3359,5.312134,37
0,0,8,228.2661,233.668,31,8,29437.29,233.668,32
0,0,8,146.4831,19.63464,31,8,2601.717,19.63464,32
0,0,4,12.96877,741.1195,36,4,92653.81,741.1195,37
0,0,4,133.287,66.86137,35,4,8491.771,66.86137,36
0,0,10,46.69366,525.5695,34,10,65743.55,525.5695,35
0,0,9,57.32859,688.3698,32,9,86103.82,688.3698,33
0,0,6,37.91676,127.1296,35,6,15929.27,127.1296,36
0,0,3,153.84,133.2686,36,3,16813.36,133.2686,37
0,0,5,81.26889,200.098,32,5,25093.91,200.098,33
0,0,7,194.9309,370.216,24,7,46472.57,370.216,25
0,0,7,4.589551,341.2426,39,7,42660.2,341.2426,40
0,0,12,214.7282,477.2345,45,12,59869.86,477.2345,46
0,0,11,42.47334,56.78647,39,11,7140.797,56.78647,40
0,0,11,205.8566,513.902,45,11,64444.14,513.902,46
0,0,10,33.06355,552.6025,40,10,69109.26,552.6025,41
0,0,7,102.527,3.16371,33,7,498.0063,3.16371,34
0,0,9,233.92,462.0493,41,9,57990.39,462.0493,42
0,0,12,114.5721,445.9866,36,12,55863.66,445.9866,37
0,0,11,154.6345,120.1215,43,11,15170.21,120.1215,44
0,0,8,247.4502,391.5096,31,8,49186.29,391.5096,32
0,0,6,54.88697,149.1374,32,6,18697.29,149.1374,33
0,0,11,50.03858,67.67869,46,11,8510.489,67.67869,47
0,0,11,96.17279,509.7423,25,11,63814.82,509.7423,26
0,0,11,133.7344,168.7315,31,11,21225.26,168.7315,32
0,0,6,16.93167,152.9203,32,6,19132.29,152.9203,33
0,0,6,181.111,353.8722,35,6,44415.51,353.8722,36
0,0,8,224.1243,269.6214,43,8,33927.72,269.6214,44
0,0,6,64.01921,66.55575,40,6,8384.215,66.55575,41
0,0,8,8.868933,668.6489,32,8,83590.96,668.6489,33
0,0,9,137.2819,147.3461,34,9,18555.8,147.3461,35
0,0,9,9.777149,3.418142,26,9,437.085,3.418142,27
0,0,9,14.95348,544.7101,43,9,68104.13,544.7101,44
0,0,7,215.3319,92.59448,32,7,11789.65,92.59448,33
0,0,9,121.5428,225.3093,52,9,28286.13,225.3093,53
0,0,10,158.3442,568.4326,39,10,71212.84,568.4326,40
0,0,11,162.2668,667.7222,30,11,83628.48,667.7222,31
0,0,8,146.6565,141.9761,34,8,17893.91,141.9761,35
0,0,7,40.83797,654.4424,34,7,81846.18,654.4424,35
0,0,9,242.1937,379.2625,44,9,47650.87,379.2625,45
0,0,9,115.8588,422.7249,41,9,52956.9,422.7249,42
0,0,8,202.4557,679.1215,42,8,85093.61,679.1215,43
0,0,8,213.0615,177.14,36,8,22356.24,177.14,37
0,0,6,168.056,1651.207,39,6,206569.6,1651.207,40
0,0,10,192.4559,252.1249,34,10,31708.35,252.1249,35
0,0,7,121.303,468.132,37,7,58638.54,468.132,38
0,0,9,53.57818,1334.712,27,9,166893.5,1334.712,28
0,0,9,101.4116,22.43597,38,9,2906.767,22.43597,39
0,0,4,227.6168,179.9246,41,4,22718.93,179.9246,42
0,0,8,73.82711,173.7408,38,8,21791.44,173.7408,39
0,0,11,195.9709,562.5643,38,11,70516.59,562.5643,39
0,0,8,7.491725,275.5656,25,8,34454.09,275.5656,26
0,0,9,155.2007,156.0315,40,9,19659.93,156.0315,41
0,0,8,44.8796,198.4155,44,8,24847.21,198.4155,45
0,0,10,115.0346,970.2369,35,10,121394.8,970.2369,36
0,0,7,63.29455,383.2238,33,7,47966.43,383.2238,34
0,0,10,249.3056,121.6241,41,10,15453.12,121.6241,42
0,0,8,.9291657,422.1207,35,8,52766.68,422.1207,36
0,0,8,241.5738,904.6255,34,8,113319.9,904.6255,35
0,0,7,201.6172,211.37,37,7,26623.84,211.37,38
0,0,8,9.342159,606.949,33,8,75878.91,606.949,34
0,0,9,127.6172,594.9129,43,9,74492.39,594.9129,44
0,0,10,62.5433,605.5194,38,10,75752.98,605.5194,39
0,0,10,56.04295,289.9122,31,10,36295.68,289.9122,32
0,0,5,238.566,85.40231,34,5,10914.27,85.40231,35
0,0,5,219.3577,1332.486,38,5,166780.3,1332.486,39
0,0,4,73.18053,66.92982,31,4,8440.389,66.92982,32
0,0,10,122.9615,223.7332,27,10,28090.5,223.7332,28
