year,municipality_id,air_quality_regulation_year,particulate_matter
2005,16,,-13.34928
2006,16,,117.4696
2007,16,,123.896
2008,16,,49.43585
2009,16,,112.3852
2010,16,,46.829
2011,16,,81.39197
2012,16,,83.48875
2003,17,,74.90334
2004,17,,8.779747
2005,17,,-18.36386
2006,17,,91.95509
2007,17,,97.98225
2008,17,,52.26926
2009,17,,110.5914
2010,17,,47.93699
2011,17,,87.49947
2012,17,,84.64259
2003,18,,69.84055
2004,18,,24.18819
2005,18,,2.21994
2006,18,,102.0575
2007,18,,104.7043
2008,18,,49.7597
2009,18,,105.165
2010,18,,69.41644
2011,18,,103.0079
2012,18,,92.35829
2003,19,,67.8265
2004,19,,-9.046951
2005,19,,-16.54755
2006,19,,104.0912
2007,19,,108.9792
2008,19,,47.69614
2009,19,,96.82606
2010,19,,43.96312
2011,19,,86.53095
2012,19,,89.34951
2003,20,,82.99409
2004,20,,11.283
2005,20,,-16.84929
2006,20,,125.64
2007,20,,124.6581
2008,20,,62.38755
2009,20,,122.2231
2010,20,,58.21496
2011,20,,83.90018
2012,20,,77.22956
2003,21,,89.39225
2004,21,,11.61368
2005,21,,-18.37274
2006,21,,105.6372
2007,21,,133.9233
2008,21,,39.09596
2009,21,,108.0313
2010,21,,51.60435
2011,21,,79.91302
2012,21,,90.45827
2003,22,,77.37093
2004,22,,4.86396
2005,22,,-12.29361
2006,22,,110.0618
2007,22,,111.8846
2008,22,,37.12892
2009,22,,109.5966
2010,22,,46.29315
2011,22,,99.96692
2012,22,,79.19951
2003,23,,89.4439
2004,23,,20.34241
2005,23,,-7.856979
2006,23,,105.6809
2007,23,,98.92626
2008,23,,50.07427
2009,23,,114.2509
2010,23,,52.06905
2011,23,,83.71316
2012,23,,74.84252
2003,24,,76.68007
2004,24,,16.39414
2005,24,,-.8660889
2006,24,,110.0617
2007,24,,106.2193
2008,24,,57.23711
2009,24,,85.39727
2010,24,,56.99648
2011,24,,107.042
2012,24,,77.04596
2003,25,,73.87688
2004,25,,7.858994
2005,25,,-22.54261
2006,25,,106.5545
2007,25,,103.7814
2008,25,,37.96646
2009,25,,95.32655
2010,25,,44.06424
2011,25,,83.86673
2012,25,,68.73212
2003,26,,74.01037
2004,26,,11.44379
2005,26,,-14.08633
2006,26,,98.211
2007,26,,100.9551
2008,26,,49.37191
2009,26,,108.5192
2010,26,,57.46754
2011,26,,83.53427
2012,26,,71.81934
2003,27,,75.0816
2004,27,,5.326385
2005,27,,-17.52192
2006,27,,108.6497
2007,27,,96.16771
2008,27,,49.38237
2009,27,,116.8665
2010,27,,45.79051
2011,27,,85.97083
2012,27,,84.29979
2003,28,,67.49285
2004,28,,7.342613
2005,28,,-18.68197
2006,28,,108.9474
2007,28,,89.7356
2008,28,,40.47172
2009,28,,102.4434
2010,28,,41.30782
2011,28,,83.43356
2012,28,,87.5732
2003,29,,70.1368
2004,29,,-7.156288
2005,29,,-7.871712
2006,29,,114.8166
2007,29,,101.8344
2008,29,,47.09272
2009,29,,126.1994
2010,29,,67.26538
2011,29,,100.3316
2012,29,,71.10891
2003,30,,85.49056
2004,30,,15.82147
2005,30,,-28.34496
2006,30,,120.6556
2007,30,,112.3984
2008,30,,51.74127
2009,30,,103.1697
2010,30,,52.41934
2011,30,,91.22726
2012,30,,75.31182
2003,31,,78.38798
2004,31,,18.84528
2005,31,,-14.06292
2006,31,,95.80536
2007,31,,100.9016
2008,31,,45.84445
2009,31,,108.368
2010,31,,70.80862
2011,31,,96.23499
2012,31,,67.71076
2003,32,,64.84693
2004,32,,18.99614
2005,32,,-19.85753
2006,32,,127.4149
2007,32,,90.43111
2008,32,,41.9652
2009,32,,114.5439
2010,32,,51.67555
2011,32,,92.75314
2012,32,,67.0623
2003,33,,74.76835
2004,33,,-8.680977
2005,33,,-19.27598
2006,33,,117.7335
2007,33,,83.56399
2008,33,,34.44909
2009,33,,112.0934
2010,33,,57.05825
2011,33,,93.36232
2012,33,,75.7095
2003,34,,68.84728
2004,34,,-.2819595
2005,34,,11.20725
2006,34,,108.5173
2007,34,,92.96529
2008,34,,54.60098
2009,34,,97.93975
2010,34,,45.65246
2011,34,,98.90369
2012,34,,67.75368
2003,35,,84.28334
2004,35,,15.42108
2005,35,,-10.18534
2006,35,,108.2359
2007,35,,98.76815
2008,35,,43.79638
2009,35,,130.294
2010,35,,60.51785
2011,35,,82.8806
2012,35,,65.80259
2003,36,,80.22813
2004,36,,-2.004997
2005,36,,-8.764191
2006,36,,125.5406
2007,36,,98.72298
2008,36,,29.71121
2009,36,,102.2482
2010,36,,63.34964
2011,36,,110.363
2012,36,,82.38768
2003,37,,76.11553
2004,37,,10.66573
2005,37,,.4076462
2006,37,,113.2806
2007,37,,113.0919
2008,37,,53.52844
2009,37,,117.3934
2010,37,,42.75604
2011,37,,91.74406
2012,37,,71.55759
2003,38,,77.02242
2004,38,,6.675797
2005,38,,-15.998
2006,38,,112.2531
2007,38,,95.56743
2008,38,,35.06958
2009,38,,90.54675
2010,38,,57.53093
2011,38,,87.44381
2012,38,,64.09501
2003,39,,75.10889
2004,39,,3.737518
2005,39,,-11.23276
2006,39,,129.3377
2007,39,,109.0548
2008,39,,58.50963
2009,39,,98.31345
2010,39,,69.75661
2011,39,,99.492
2012,39,,76.17555
2003,40,,72.23174
2004,40,,-2.532539
2005,40,,-14.71061
2006,40,,122.4511
2007,40,,118.5031
2008,40,,31.70373
2009,40,,123.1569
2010,40,,54.73172
2011,40,,92.22899
2012,40,,98.25054
2003,41,,78.95193
2004,41,,-.2192154
2005,41,,-12.83474
2006,41,,124.682
2007,41,,107.6875
2008,41,,45.49859
2009,41,,100.4809
2010,41,,35.43394
2011,41,,93.27266
2012,41,,76.06702
2003,42,,71.58547
2004,42,,-7.515388
2005,42,,-.9128494
2006,42,,105.4697
2007,42,,105.8771
2008,42,,57.08811
2009,42,,116.3441
2010,42,,62.29791
2011,42,,95.22482
2012,42,,83.38107
2003,43,,74.09894
2004,43,,5.238579
2005,43,,-1.254341
2006,43,,107.3401
2007,43,,97.6772
2008,43,,52.71056
2009,43,,103.8815
2010,43,,59.08212
2011,43,,100.1236
2012,43,,92.88163
2003,44,,65.98756
2004,44,,10.36332
2005,44,,-24.68268
2006,44,,120.284
2007,44,,103.7345
2008,44,,53.06526
2009,44,,100.6807
2010,44,,39.05408
2011,44,,96.13407
2012,44,,79.10188
2003,45,,76.89652
2004,45,,13.68816
2005,45,,1.897903
2006,45,,125.4981
2007,45,,83.69913
2008,45,,38.551
2009,45,,81.32201
2010,45,,45.28056
2011,45,,82.35441
2012,45,,84.08215
2003,46,,66.52158
2004,46,,24.57378
2005,46,,-17.72049
2006,46,,113.2619
2007,46,,107.2597
2008,46,,37.71406
2009,46,,107.0511
2010,46,,38.97717
2011,46,,83.05608
2012,46,,83.96452
2003,47,,64.04412
2004,47,,14.25009
2005,47,,-25.60437
2006,47,,132.4816
2007,47,,109.5675
2008,47,,62.48375
2009,47,,94.96039
2010,47,,59.98985
2011,47,,88.96581
2012,47,,63.34447
2003,48,,82.0759
2004,48,,10.88448
2005,48,,-6.176537
2006,48,,130.7064
2007,48,,114.3731
2008,48,,44.76295
2009,48,,117.8472
2010,48,,60.16434
2011,48,,81.37486
2012,48,,90.96454
2003,49,,80.94472
2004,49,,-9.258812
2005,49,,17.59663
2006,49,,99.75841
2007,49,,103.0545
2008,49,,44.44626
2009,49,,124.4632
2010,49,,45.51378
2011,49,,79.70653
2012,49,,73.85169
2003,50,,65.62443
2004,50,,7.127396
2005,50,,-28.08308
2006,50,,109.0782
2007,50,,98.72754
2008,50,,43.46394
2009,50,,99.35985
2010,50,,50.28857
2011,50,,79.09843
2012,50,,81.63229
2003,51,,70.47513
2004,51,,8.605324
2005,51,,-9.328728
2006,51,,103.6871
2007,51,,100.9737
2008,51,,52.55984
2009,51,,106.1486
2010,51,,59.08732
2011,51,,86.90826
2012,51,,71.34651
2003,52,,82.49716
2004,52,,13.72144
2005,52,,-15.10146
2006,52,,118.0972
2007,52,,118.0129
2008,52,,49.57109
2009,52,,104.3692
2010,52,,71.06381
2011,52,,93.9877
2012,52,,88.9379
2003,53,,76.33248
2004,53,,14.64772
2005,53,,-11.07825
2006,53,,102.8905
2007,53,,73.54565
2008,53,,32.72681
2009,53,,92.08972
2010,53,,66.59481
2011,53,,87.1586
2012,53,,90.86349
2003,54,,89.3115
2004,54,,6.904991
2005,54,,-.3072357
2006,54,,106.7871
2007,54,,116.5538
2008,54,,49.64512
2009,54,,123.7598
2010,54,,55.19796
2011,54,,83.58098
2012,54,,87.79877
2003,55,,89.70792
2004,55,,-4.429161
2005,55,,-18.91604
2006,55,,106.1375
2007,55,,113.0136
2008,55,,46.44834
2009,55,,121.2512
2010,55,,43.49315
2011,55,,83.98341
2012,55,,80.5134
2003,56,,71.2957
2004,56,,23.79797
2005,56,,-3.143745
2006,56,,116.1529
2007,56,,114.2199
2008,56,,54.53781
2009,56,,99.28396
2010,56,,57.39453
2011,56,,99.59959
2012,56,,87.69105
2003,57,,83.54395
2004,57,,-1.82695
2005,57,,-9.65863
2006,57,,126.3506
2007,57,,102.4248
2008,57,,47.88131
2009,57,,106.0002
2010,57,,76.87202
2011,57,,71.46307
2012,57,,66.51454
2003,58,,80.20152
2004,58,,8.713791
2005,58,,-2.092873
2006,58,,121.4584
2007,58,,108.1332
2008,58,,42.00076
2009,58,,92.89625
2010,58,,42.88933
2011,58,,104.9037
2012,58,,94.80339
2003,59,,67.16538
2004,59,,1.105537
2005,59,,-16.87287
2006,59,,104.097
2007,59,,110.3212
2008,59,,54.2227
2009,59,,108.2876
2010,59,,74.84796
2011,59,,77.34408
2012,59,,79.70898
2003,60,,83.76279
2004,60,,12.89673
2005,60,,-11.97914
2006,60,,104.5056
2007,60,,93.33332
2008,60,,38.5009
2009,60,,108.3257
2010,60,,60.09032
2011,60,,91.38808
2012,60,,87.061
2003,61,,74.10448
2004,61,,30.12556
2005,61,,-21.35389
2006,61,,122.2402
2007,61,,106.6834
2008,61,,51.9925
2009,61,,105.2051
2010,61,,53.40029
2011,61,,93.70149
2012,61,,66.03377
2003,62,,73.57411
2004,62,,.302948
2005,62,,-26.33057
2006,62,,116.5617
2007,62,,100.7582
2008,62,,47.40689
2009,62,,109.625
2010,62,,69.93623
2011,62,,100.2799
2012,62,,89.68806
2003,63,,72.1063
2004,63,,7.05143
2005,63,,-9.541237
2006,63,,107.5621
2007,63,,104.0852
2008,63,,46.28761
2009,63,,108.5862
2010,63,,57.27877
2011,63,,93.06688
2012,63,,70.98529
2003,64,,52.31926
2004,64,,-8.373398
2005,64,,-17.49692
2006,64,,120.8623
2007,64,,108.095
2008,64,,55.78738
2009,64,,108.7382
2010,64,,61.16416
2011,64,,82.22587
2012,64,,71.62138
2003,65,,67.17851
2004,65,,9.673004
2005,65,,-19.28215
2006,65,,101.2183
2007,65,,94.70978
2008,65,,61.74827
2009,65,,116.7423
2010,65,,57.10685
2011,65,,91.70636
2012,65,,74.79866
2003,66,,65.59219
2004,66,,13.78996
2005,66,,-13.2755
2006,66,,116.6911
2007,66,,109.1194
2008,66,,40.60268
2009,66,,99.38979
2010,66,,71.36611
2011,66,,84.19172
2012,66,,81.03548
2003,67,,92.02058
2004,67,,7.323441
2005,67,,-21.95686
2006,67,,114.8997
2007,67,,92.70389
2008,67,,59.7568
2009,67,,112.9143
2010,67,,64.8595
2011,67,,87.28479
2012,67,,74.58533
2003,68,,58.82131
2004,68,,7.707649
2005,68,,-5.0476
2006,68,,124.2488
2007,68,,99.16128
2008,68,,48.81216
2009,68,,99.50912
2010,68,,60.87739
2011,68,,104.9878
2012,68,,72.46832
2003,69,,65.59215
2004,69,,2.274658
2005,69,,-2.163162
2006,69,,130.2477
2007,69,,105.5171
2008,69,,34.63494
2009,69,,118.4632
2010,69,,72.06655
2011,69,,114.9143
2012,69,,73.78704
2003,70,,67.60547
2004,70,,23.93496
2005,70,,-26.62824
2006,70,,106.8216
2007,70,,109.5383
2008,70,,12.94098
2009,70,,97.09829
2010,70,,56.81134
2011,70,,79.78042
2012,70,,83.3281
2003,71,,85.41841
2004,71,,19.62048
2005,71,,-2.464836
2006,71,,110.4794
2007,71,,114.3544
2008,71,,49.94141
2009,71,,105.9374
2010,71,,53.94688
2011,71,,81.33009
2012,71,,73.79859
2003,72,,72.51334
2004,72,,14.70859
2005,72,,-31.13682
2006,72,,97.45388
2007,72,,106.6866
2008,72,,58.7047
2009,72,,100.3496
2010,72,,64.52439
2011,72,,96.64521
2012,72,,74.02489
2003,73,,66.63756
2004,73,,22.07893
2005,73,,-17.01311
2006,73,,85.37993
2007,73,,125.2023
2008,73,,45.19667
2009,73,,93.74691
2010,73,,54.78712
2011,73,,72.00848
2012,73,,85.01091
2003,74,,78.13226
2004,74,,25.89927
2005,74,,-21.62757
2006,74,,107.1238
2007,74,,115.7939
2008,74,,45.24402
2009,74,,104.0222
2010,74,,59.41257
2011,74,,100.2314
2012,74,,73.47925
2003,75,,80.76256
2004,75,,2.284843
2005,75,,-14.90205
2006,75,,109.7875
2007,75,,106.6177
2008,75,,52.94704
2009,75,,106.6984
2010,75,,67.65693
2011,75,,104.834
2012,75,,74.73785
2003,76,,71.9407
2004,76,,19.90229
2005,76,,-14.5318
2006,76,,112.528
2007,76,,94.33932
2008,76,,50.98267
2009,76,,89.50006
2010,76,,52.60021
2011,76,,80.16483
2012,76,,80.69207
2003,77,,74.46378
2004,77,,7.073799
2005,77,,-3.693146
2006,77,,108.8268
2007,77,,106.0397
2008,77,,43.1731
2009,77,,102.8943
2010,77,,66.52211
2011,77,,78.37727
2012,77,,63.74979
2003,78,,74.00664
2004,78,,-1.610168
2005,78,,8.365822
2006,78,,124.0465
2007,78,,108.7419
2008,78,,25.9491
2009,78,,92.68399
2010,78,,60.34219
2011,78,,94.30878
2012,78,,95.68849
2003,79,,71.90136
2004,79,,6.075409
2005,79,,-13.57282
2006,79,,104.0902
2007,79,,119.8917
2008,79,,59.17167
2009,79,,95.51337
2010,79,,69.44348
2011,79,,95.55621
2012,79,,93.80306
2003,80,,68.72701
2004,80,,-3.189102
2005,80,,-13.89653
2006,80,,95.79736
2007,80,,110.4219
2008,80,,47.80278
2009,80,,93.76565
2010,80,,49.62367
2011,80,,86.4757
2012,80,,71.61923
2003,81,,66.74904
2004,81,,.5922089
2005,81,,.5792084
2006,81,,103.6774
2007,81,,112.865
2008,81,,36.8219
2009,81,,104.2524
2010,81,,54.35632
2011,81,,89.62074
2012,81,,75.95748
2003,82,,70.92366
2004,82,,4.325081
2005,82,,-1.705261
2006,82,,124.0341
2007,82,,103.8117
2008,82,,56.55297
2009,82,,104.3692
2010,82,,61.39204
2011,82,,103.489
2012,82,,85.26651
2003,83,,79.30114
2004,83,,16.22723
2005,83,,-12.78354
2006,83,,109.2598
2007,83,,90.78535
2008,83,,39.51157
2009,83,,102.0716
2010,83,,49.56751
2011,83,,88.77036
2012,83,,93.07298
2003,84,,76.41082
2004,84,,7.848534
2005,84,,-16.35689
2006,84,,108.0177
2007,84,,84.2325
2008,84,,53.54616
2009,84,,105.6491
2010,84,,55.28563
2011,84,,92.40937
2012,84,,79.19415
2003,85,,61.65096
2004,85,,-3.645866
2005,85,,15.42393
2006,85,,104.0274
2007,85,,97.35342
2008,85,,56.83994
2009,85,,124.703
2010,85,,62.34824
2011,85,,86.43071
2012,85,,77.21571
2003,86,,71.53852
2004,86,,-.0673752
2005,86,,-8.025673
2006,86,,102.2258
2007,86,,93.60417
2008,86,,50.90781
2009,86,,99.28113
2010,86,,54.18994
2011,86,,89.04867
2012,86,,79.24152
2003,87,,74.09941
2004,87,,18.08698
2005,87,,-35.16072
2006,87,,97.11138
2007,87,,111.1561
2008,87,,54.44777
2009,87,,117.3234
2010,87,,38.60218
2011,87,,101.2172
2012,87,,92.15228
2003,88,,86.28118
2004,88,,14.47575
2005,88,,-13.22007
2006,88,,131.1438
2007,88,,90.40113
2008,88,,47.26293
2009,88,,99.85136
2010,88,,66.9502
2011,88,,87.67815
2012,88,,65.36187
2003,89,,60.20241
2004,89,,31.86391
2005,89,,-6.601463
2006,89,,96.35378
2007,89,,85.80489
2008,89,,47.4095
2009,89,,104.4665
2010,89,,55.58337
2011,89,,95.47027
2012,89,,76.18602
2003,90,,78.26281
2004,90,,7.955536
2005,90,,-7.412437
2006,90,,106.9982
2007,90,,96.99986
2008,90,,50.27924
2009,90,,121.28
2010,90,,82.30788
2011,90,,96.43136
2012,90,,75.14661
2003,91,,61.69328
2004,91,,1.468765
2005,91,,-12.10283
2006,91,,99.74047
2007,91,,116.1998
2008,91,,18.34216
2009,91,,105.0662
2010,91,,51.38592
2011,91,,93.5868
2012,91,,70.3316
2003,92,,87.86596
2004,92,,18.73616
2005,92,,-21.31995
2006,92,,103.101
2007,92,,107.0618
2008,92,,52.42886
2009,92,,108.6813
2010,92,,53.13976
2011,92,,83.02676
2012,92,,86.67324
2003,93,,75.53349
2004,93,,-8.801918
2005,93,,-3.211487
2006,93,,90.25056
2007,93,,99.64708
2008,93,,58.48291
2009,93,,91.30669
2010,93,,55.97876
2011,93,,79.16702
2012,93,,75.35706
2003,94,,71.58707
2004,94,,3.987923
2005,94,,-1.213821
2006,94,,126.3512
2007,94,,122.5678
2008,94,,55.90528
2009,94,,97.09074
2010,94,,56.31631
2011,94,,84.68295
2012,94,,84.52235
2003,95,,80.1104
2004,95,,19.53554
2005,95,,15.88671
2006,95,,119.5789
2007,95,,94.79159
2008,95,,43.40372
2009,95,,120.5351
2010,95,,60.42828
2011,95,,80.04955
2012,95,,84.50702
2003,96,,73.75112
2004,96,,20.38248
2005,96,,-17.98511
2006,96,,108.5091
2007,96,,95.23379
2008,96,,45.50634
2009,96,,77.44663
2010,96,,54.58049
2011,96,,81.79124
2012,96,,95.86572
2003,97,,83.2565
2004,97,,-2.963791
2005,97,,-10.49844
2006,97,,113.5923
2007,97,,95.09988
2008,97,,58.59204
2009,97,,108.0554
2010,97,,47.45325
2011,97,,114.1374
2012,97,,54.90355
2003,98,,76.10279
2004,98,,13.43347
2005,98,,-13.61626
2006,98,,106.6896
2007,98,,101.47
2008,98,,47.37052
2009,98,,122.8489
2010,98,,66.53325
2011,98,,107.5111
2012,98,,78.83675
2003,99,,96.45299
2004,99,,20.63544
2005,99,,-13.41636
2006,99,,96.95605
2007,99,,114.1967
2008,99,,62.13747
2009,99,,123.6353
2010,99,,49.80447
2011,99,,87.79935
2012,99,,61.82057
2003,100,,68.43592
2004,100,,10.67654
2005,100,,-17.45995
2006,100,,111.8596
2007,100,,104.4764
2008,100,,44.37365
2009,100,,107.4783
2010,100,,57.09986
2011,100,,112.6319
2012,100,,80.54783
2003,101,,83.55315
2004,101,,17.89527
2005,101,,-27.21695
2006,101,,108.1511
2007,101,,115.2821
2008,101,,49.40166
2009,101,,101.9179
2010,101,,50.25397
2011,101,,94.86307
2012,101,,73.08246
2003,102,,78.82758
2004,102,,2.773056
2005,102,,-4.524666
2006,102,,91.13905
2007,102,,93.68447
2008,102,,29.79395
2009,102,,93.13851
2010,102,,44.1074
2011,102,,85.33807
2012,102,,86.40723
2003,103,,78.58722
2004,103,,14.27607
2005,103,,-1.961227
2006,103,,111.2699
2007,103,,94.8959
2008,103,,48.70687
2009,103,,118.3012
2010,103,,54.5753
2011,103,,100.3841
2012,103,,60.33956
2003,104,,89.05116
2004,104,,21.58405
2005,104,,-24.69858
2006,104,,110.6493
2007,104,,101.6602
2008,104,,37.36207
2009,104,,112.5312
2010,104,,62.57404
2011,104,,79.8076
2012,104,,90.02888
2003,105,,80.00506
2004,105,,10.47649
2005,105,,-8.973793
2006,105,,106.4215
2007,105,,96.01559
2008,105,,55.14907
2009,105,,108.021
2010,105,,63.93855
2011,105,,109.4503
2012,105,,98.00123
2003,106,,60.16044
2004,106,,13.79073
2005,106,,-5.459457
2006,106,,121.6014
2007,106,,107.68
2008,106,,39.62332
2009,106,,87.14987
2010,106,,54.26855
2011,106,,89.10182
2012,106,,71.46561
2003,107,,85.68938
2004,107,,-5.698975
2005,107,,-8.218697
2006,107,,117.6988
2007,107,,92.71089
2008,107,,36.18676
2009,107,,99.08504
2010,107,,60.62244
2011,107,,98.42444
2012,107,,88.04378
2003,108,,80.31936
2004,108,,1.743576
2005,108,,-14.18673
2006,108,,98.48931
2007,108,,121.3249
2008,108,,54.77822
2009,108,,90.69681
2010,108,,53.10863
2011,108,,86.67004
2012,108,,72.72303
2003,109,,61.39324
2004,109,,9.924057
2005,109,,-14.92722
2006,109,,114.3541
2007,109,,99.5577
2008,109,,51.82044
2009,109,,106.8519
2010,109,,63.70982
2011,109,,94.23218
2012,109,,96.19309
2003,110,,83.88713
2004,110,,7.465736
2005,110,,-1.817093
2006,110,,115.4592
2007,110,,105.1516
2008,110,,68.27325
2009,110,,100.6731
2010,110,,52.7262
2011,110,,98.89487
2012,110,,84.7775
2003,111,,58.50629
2004,111,,14.66692
2005,111,,-4.274788
2006,111,,106.9487
2007,111,,111.7832
2008,111,,52.27309
2009,111,,98.61314
2010,111,,64.0766
2011,111,,94.84588
2012,111,,91.72898
2003,112,,78.00317
2004,112,,3.439941
2005,112,,-18.34355
2006,112,,112.5475
2007,112,,104.0186
2008,112,,48.70287
2009,112,,105.8174
2010,112,,47.26692
2011,112,,104.3444
2012,112,,86.15633
2003,113,,75.4061
2004,113,,-3.804253
2005,113,,-13.77111
2006,113,,93.96017
2007,113,,114.4243
2008,113,,44.34899
2009,113,,107.8527
2010,113,,41.50117
2011,113,,96.29943
2012,113,,80.05183
2003,114,,79.68678
2004,114,,15.4882
2005,114,,-8.857948
2006,114,,122.1054
2007,114,,108.5274
2008,114,,49.20223
2009,114,,103.0095
2010,114,,69.59496
2011,114,,84.05655
2012,114,,80.79661
2003,115,,66.46683
2004,115,,2.809998
2005,115,,-14.14395
2006,115,,104.1672
2007,115,,113.6503
2008,115,,47.91423
2009,115,,99.93947
2010,115,,30.90307
2011,115,,89.0745
2012,115,,90.77684
2003,116,,75.98664
2004,116,,3.08223
2005,116,,-.9970932
2006,116,,109.1625
2007,116,,99.24818
2008,116,,45.43725
2009,116,,97.83657
2010,116,,65.05584
2011,116,,84.60109
2012,116,,60.84641
2003,117,,56.79255
2004,117,,13.56934
2005,117,,-15.78183
2006,117,,102.4428
2007,117,,96.96809
2008,117,,58.30872
2009,117,,86.42526
2010,117,,43.65619
2011,117,,98.37252
2012,117,,101.5441
2003,118,,71.05061
2004,118,,1.053421
2005,118,,-8.958672
2006,118,,112.2847
2007,118,,133.1789
2008,118,,50.54498
2009,118,,103.089
2010,118,,62.91657
2011,118,,95.20191
2012,118,,72.58304
2003,119,,74.9875
2004,119,,14.24472
2005,119,,-11.57341
2006,119,,107.0211
2007,119,,99.55247
2008,119,,33.86317
2009,119,,114.7908
2010,119,,60.77347
2011,119,,96.17381
2012,119,,83.04048
2003,120,,68.05959
2004,120,,24.65911
2005,120,,-14.06858
2006,120,,105.5682
2007,120,,105.4134
2008,120,,45.60894
2009,120,,111.4418
2010,120,,49.31379
2011,120,,95.74275
2012,120,,82.78722
2003,121,,77.49345
2004,121,,3.021683
2005,121,,-21.87395
2006,121,,119.8225
2007,121,,106.1002
2008,121,,46.44488
2009,121,,94.55527
2010,121,,58.40075
2011,121,,66.94048
2012,121,,90.93393
2003,122,,46.90342
2004,122,,17.44335
2005,122,,-13.75889
2006,122,,114.1735
2007,122,,93.76416
2008,122,,43.584
2009,122,,94.51945
2010,122,,41.94947
2011,122,,86.42316
2012,122,,72.92645
2003,123,,64.9315
2004,123,,12.08149
2005,123,,-24.05495
2006,123,,114.1564
2007,123,,101.2675
2008,123,,49.40173
2009,123,,95.98251
2010,123,,60.05445
2011,123,,80.04745
2012,123,,93.88432
2003,124,,61.09853
2004,124,,10.30122
2005,124,,-18.01132
2006,124,,126.7099
2007,124,,96.10992
2008,124,,28.00498
2009,124,,98.17542
2010,124,,40.60149
2011,124,,92.67001
2012,124,,85.75385
2003,125,,61.98322
2004,125,,20.60886
2005,125,,-12.97689
2006,125,,95.48097
2007,125,,107.5953
2008,125,,53.75645
2009,125,,112.0005
2010,125,,71.71827
2011,125,,110.4558
2012,125,,85.85165
2003,126,,88.07649
2004,126,,11.00917
2005,126,,-8.582977
2006,126,,95.25338
2007,126,,113.013
2008,126,,43.43376
2009,126,,94.48672
2010,126,,40.35601
